scope,analysis,group,variant,candidate_id,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,median_holding_minutes
COMBINED,weekday,Thursday,BASELINE,DATA_UNAVAILABLE,390,1.1744288685,0.0962399339818,37.5335742529,-37.0096557712,1.01415626465,0.348717948718,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,weekday,Friday,BASELINE,DATA_UNAVAILABLE,445,1.23382455471,0.120407156166,53.5811844937,-35.3568944094,1.51543808891,0.337078651685,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,weekday,Monday,SESSION_FILTER,DATA_UNAVAILABLE,257,1.4883382753,0.235959651274,60.6416303775,-24.3488825007,2.49053033033,0.381322957198,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,weekday,Tuesday,SESSION_FILTER,DATA_UNAVAILABLE,237,1.04381393056,0.0222678191159,5.27747313047,-21.7751478997,0.242362217459,0.350210970464,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,weekday,Wednesday,SESSION_FILTER,DATA_UNAVAILABLE,266,1.16098066972,0.0830524264829,22.0919454444,-25.2309474853,0.875589212705,0.327067669173,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,weekday,Thursday,SESSION_FILTER,DATA_UNAVAILABLE,272,1.26941236384,0.148589064875,40.4162256459,-38.3788931763,1.05308471144,0.345588235294,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,weekday,Friday,SESSION_FILTER,DATA_UNAVAILABLE,317,1.49943028005,0.244598398403,77.5376922937,-18.3645585878,4.22213754406,0.356466876972,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,session,Session_A,BASELINE,DATA_UNAVAILABLE,75,0.96551275914,-0.021659441365,-1.62445810237,-30.1953332972,-0.0537983166599,0.28,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,session,Session_B,BASELINE,DATA_UNAVAILABLE,1354,1.29082611948,0.148609428043,201.217165571,-34.8832431959,5.76830441025,0.350812407681,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,session,Session_C,BASELINE,DATA_UNAVAILABLE,532,0.792512684951,-0.115418896027,-61.4028526862,-83.5212956907,-0.735176007249,0.336466165414,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,session,10:00-17:00,SESSION_FILTER,DATA_UNAVAILABLE,1349,1.29974518048,0.152679738245,205.964966892,-34.0692462804,6.04548058378,0.352112676056,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,holding_time,ALL,BASELINE,DATA_UNAVAILABLE,1961,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,109.752677206,60
COMBINED,holding_time,WINNER,BASELINE,DATA_UNAVAILABLE,675,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,162.562962963,125
COMBINED,holding_time,LOSER,BASELINE,DATA_UNAVAILABLE,1286,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,82.033437014,40
COMBINED,holding_time,ALL,SESSION_FILTER,DATA_UNAVAILABLE,1349,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,78.4025203855,55
COMBINED,holding_time,WINNER,SESSION_FILTER,DATA_UNAVAILABLE,475,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,134.831578947,110
COMBINED,holding_time,LOSER,SESSION_FILTER,DATA_UNAVAILABLE,874,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,47.7345537757,35
