strategy,timeframe,instrument,year,month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
T2,M30,GLDRUBF,2023,10,3,0,-0.507967746912,-1.52390324074,-1.52390324074,-1,0
T2,M30,GLDRUBF,2023,11,3,3.19186550328,0.306197175838,0.918591527514,-0.419091192475,2.19186550328,0.666666666667
T2,M30,GLDRUBF,2023,12,6,1.55890367127,0.330646832324,1.98388099394,-3.00027415962,0.661233236829,0.333333333333
T2,M30,GLDRUBF,2024,1,8,0.342541133675,-0.334279639803,-2.67423711842,-2.78727178035,-0.959446128387,0.25
T2,M30,GLDRUBF,2024,2,6,0.127673507653,-0.498010348502,-2.98806209101,-2.98806209101,-1,0.166666666667
T2,M30,GLDRUBF,2024,3,9,2.11367917207,0.502360512982,4.52124461683,-2.00022631379,2.26036653236,0.444444444444
T2,M30,GLDRUBF,2024,4,4,5.67972454514,0.728775137318,2.91510054927,-0.603602931887,4.82950031432,0.5
T2,M30,GLDRUBF,2024,5,3,0.0673222941594,-0.621870313668,-1.865610941,-2.00027397387,-0.932677705841,0.333333333333
T2,M30,GLDRUBF,2024,6,5,0.732106689314,-0.173262667212,-0.866313336059,-2.23375179578,-0.387828825788,0.2
T2,M30,GLDRUBF,2024,7,5,2.42975805688,0.598623765929,2.99311882965,-2.09344428258,1.42975805688,0.4
T2,M30,GLDRUBF,2024,8,3,0,-0.640491904518,-1.92147571355,-1.92147571355,-1,0
T2,M30,GLDRUBF,2024,9,4,,0.550804524446,2.20321809778,0,,1
T2,M30,GLDRUBF,2024,10,8,4.84859580872,0.766743579406,6.13394863525,-1.00008927042,6.13340110394,0.625
T2,M30,GLDRUBF,2024,11,3,3.34984012595,2.24549060339,6.73647181017,-2.8667787803,2.34984012595,0.333333333333
T2,M30,GLDRUBF,2024,12,4,0.0788668622657,-0.289051476558,-1.15620590623,-1.25519955679,-0.921133137734,0.25
T2,M30,IMOEXF,2023,11,3,0,-0.772256367465,-2.31676910239,-2.31676910239,-1,0
T2,M30,IMOEXF,2023,12,5,0.480238188625,-0.396447681444,-1.98223840722,-3.81374384158,-0.519761811375,0.2
T2,M30,IMOEXF,2024,1,4,0.307406658897,-0.485507697482,-1.94203078993,-1.94203078993,-1,0.25
T2,M30,IMOEXF,2024,2,2,,1.51771162187,3.03542324374,0,,1
T2,M30,IMOEXF,2024,3,7,3.26487178083,0.988418501157,6.9189295081,-3.05488794847,2.26487178083,0.285714285714
T2,M30,IMOEXF,2024,4,7,2.02311603478,0.411389407579,2.87972585306,-1.81421894572,1.58730888565,0.428571428571
T2,M30,IMOEXF,2024,5,7,2.39956595692,0.550883568649,3.85618498055,-1.10043800862,3.50422736251,0.428571428571
T2,M30,IMOEXF,2024,6,8,1.94989805307,0.245086762664,1.96069410131,-1.36947852719,1.43170853897,0.25
T2,M30,IMOEXF,2024,7,5,3.48126165419,0.98897725393,4.94488626965,-1.66108683844,2.97689810984,0.6
T2,M30,IMOEXF,2024,8,4,2.72180427613,0.430510808799,1.72204323519,-1.0001387841,1.72180427613,0.75
T2,M30,IMOEXF,2024,9,6,0.618877410754,-0.190586971812,-1.14352183087,-2.00026654271,-0.571684726237,0.5
T2,M30,IMOEXF,2024,10,4,2.52974052353,0.733815415459,2.93526166184,-1.91879708792,1.52974052353,0.25
T2,M30,IMOEXF,2024,11,5,4.88672936975,0.955071207026,4.77535603513,-0.811762249383,5.88270277259,0.6
T2,M30,IMOEXF,2024,12,5,1.21469424434,0.128831498766,0.644157493831,-3.00034821989,0.214694244342,0.4
T2,H1,USDRUBF,2023,1,0,,,0,0,,
T2,H1,USDRUBF,2023,2,1,0,-0.82969391806,-0.82969391806,-0.82969391806,-1,0
T2,H1,USDRUBF,2023,3,2,0.968161936991,-0.0112865336156,-0.0225730672311,-0.708996248452,-0.0318380630087,0.5
T2,H1,USDRUBF,2023,4,1,,2.12076391051,2.12076391051,0,,1
T2,H1,USDRUBF,2023,5,1,0,-0.766930138188,-0.766930138188,-0.766930138188,-1,0
T2,H1,USDRUBF,2023,6,4,3.78903562048,1.20212854173,4.80851416692,-1.44501798488,3.32765004811,0.25
T2,H1,USDRUBF,2023,7,2,3.76133331933,0.978056239225,1.95611247845,-0.708394189414,2.76133331933,0.5
T2,H1,USDRUBF,2023,8,3,5.16138229835,1.51546056911,4.54638170734,-1.09251719294,4.16138229835,0.333333333333
T2,H1,USDRUBF,2023,9,2,0,-0.763758201998,-1.527516404,-1.527516404,-1,0
T2,H1,USDRUBF,2023,10,3,24.5570099733,1.51154998771,4.53464996314,-0.192496839296,23.5570099733,0.666666666667
T2,H1,USDRUBF,2023,11,0,,,0,0,,
T2,H1,USDRUBF,2023,12,4,0.30628927056,-0.378890173741,-1.51556069497,-1.68057646297,-0.901810020761,0.25
T2,H1,USDRUBF,2024,1,1,,0.0682959200644,0.0682959200644,0,,1
T2,H1,USDRUBF,2024,2,2,3.09761372454,0.697929581202,1.3958591624,-0.665451005623,2.09761372454,0.5
T2,H1,USDRUBF,2024,3,2,0,-0.79336082783,-1.58672165566,-1.58672165566,-1,0
T2,H1,USDRUBF,2024,4,3,0.324341864995,-0.335959604464,-1.00787881339,-1.49169936862,-0.675658135005,0.333333333333
T2,H1,USDRUBF,2024,5,2,3.49176229466,1.25327741979,2.50655483959,-1.00593657949,2.49176229466,0.5
T2,H1,USDRUBF,2024,6,2,0,-0.287528081173,-0.575056162345,-0.575056162345,-1,0
T2,H1,USDRUBF,2024,7,1,0,-1.00481100732,-1.00481100732,-1.00481100732,-1,0
T2,H1,USDRUBF,2024,8,3,0.0595185137209,-0.393833518375,-1.18150055512,-1.18150055512,-1,0.333333333333
T2,H1,USDRUBF,2024,9,3,1.11491482131,0.0416539723075,0.124961916922,-0.63823128801,0.195794094194,0.333333333333
T2,H1,USDRUBF,2024,10,6,2.05951927012,0.45195124167,2.71170745002,-1.59878484317,1.69610530247,0.333333333333
T2,H1,USDRUBF,2024,11,5,24.8132977512,4.79578117878,23.9789058939,-1.00695443968,23.8132977512,0.8
T2,H1,USDRUBF,2024,12,0,,,0,0,,
T2,H1,CNYRUBF,2023,1,1,0,-1.037932284,-1.037932284,-1.037932284,-1,0
T2,H1,CNYRUBF,2023,2,2,0,-0.102408453596,-0.204816907192,-0.204816907192,-1,0
T2,H1,CNYRUBF,2023,3,3,0.00922315713088,-0.332992278945,-0.998976836836,-1.00827632784,-0.990776842869,0.333333333333
T2,H1,CNYRUBF,2023,4,1,,4.31974035329,4.31974035329,0,,1
T2,H1,CNYRUBF,2023,5,0,,,0,0,,
T2,H1,CNYRUBF,2023,6,1,,4.58283581202,4.58283581202,0,,1
T2,H1,CNYRUBF,2023,7,1,0,-1.01883996926,-1.01883996926,-1.01883996926,-1,0
T2,H1,CNYRUBF,2023,8,1,,4.23075110593,4.23075110593,0,,1
T2,H1,CNYRUBF,2023,9,4,0.21555487282,-0.394495248048,-1.57798099219,-2.01158874919,-0.78444512718,0.25
T2,H1,CNYRUBF,2023,10,6,4.21009014273,0.67369059497,4.04214356982,-0.950338553215,4.2533721863,0.5
T2,H1,CNYRUBF,2023,11,2,0,-1.02322941983,-2.04645883966,-2.04645883966,-1,0
T2,H1,CNYRUBF,2023,12,0,,,0,0,,
T2,H1,CNYRUBF,2024,1,1,0,-0.441122850165,-0.441122850165,-0.441122850165,-1,0
T2,H1,CNYRUBF,2024,2,2,2.24163019246,0.232773662716,0.465547325433,-0.374948457487,1.24163019246,0.5
T2,H1,CNYRUBF,2024,3,1,0,-1.05519075196,-1.05519075196,-1.05519075196,-1,0
T2,H1,CNYRUBF,2024,4,3,0.74991297476,-0.151653388392,-0.454960165177,-1.02566268955,-0.443576791679,0.333333333333
T2,H1,CNYRUBF,2024,5,1,,4.66148629012,4.66148629012,0,,1
T2,H1,CNYRUBF,2024,6,2,0,-0.601298334716,-1.20259666943,-1.20259666943,-1,0
T2,H1,CNYRUBF,2024,7,2,0,-0.719953852834,-1.43990770567,-1.43990770567,-1,0
T2,H1,CNYRUBF,2024,8,3,5.46824861662,0.630049108819,1.89014732646,-0.423017492677,4.46824861662,0.333333333333
T2,H1,CNYRUBF,2024,9,2,,1.42754454335,2.8550890867,0,,1
T2,H1,CNYRUBF,2024,10,3,0,-0.807876726564,-2.42363017969,-2.42363017969,-1,0
T2,H1,CNYRUBF,2024,11,4,0.90583770564,-0.0504529204759,-0.201811681904,-2.14323241884,-0.0941622943596,0.25
T2,H1,CNYRUBF,2024,12,1,,1.76850692008,1.76850692008,0,,1
