level_family_id,level_snapshot_id,snapshot_version,instrument,level_type,level_price,valid_from,first_touch,last_touch,touch_count,touch_times,tolerance_ticks,min_touches,round_confluence,historical,mirror,source_pivot_ids,source_sides,known_index,level_id,price,known_time
CNYRUBF-L7,CNYRUBF-L7-V2,2,CNYRUBF,MIRROR,11.401666666666666,2026-01-06 11:20:00+03:00,2026-01-05 12:05:00+03:00,2026-01-06 11:10:00+03:00,3,2026-01-05 12:05:00+03:00|2026-01-05 18:05:00+03:00|2026-01-06 11:10:00+03:00,2,2,False,True,True,7|36|62,LOW|HIGH|HIGH,180,CNYRUBF-L7-V2,11.401666666666666,2026-01-06 11:20:00+03:00
CNYRUBF-L5,CNYRUBF-L5-V4,4,CNYRUBF,MIRROR,11.397,2026-01-06 11:50:00+03:00,2026-01-05 11:45:00+03:00,2026-01-06 11:40:00+03:00,5,2026-01-05 11:45:00+03:00|2026-01-05 13:45:00+03:00|2026-01-05 15:05:00+03:00|2026-01-05 18:50:00+03:00|2026-01-06 11:40:00+03:00,2,2,False,True,True,5|15|22|40|64,LOW|LOW|HIGH|LOW|HIGH,186,CNYRUBF-L5-V4,11.397,2026-01-06 11:50:00+03:00
CNYRUBF-L6,CNYRUBF-L6-V5,5,CNYRUBF,MIRROR,11.398333333333333,2026-01-06 12:30:00+03:00,2026-01-05 11:50:00+03:00,2026-01-06 12:20:00+03:00,6,2026-01-05 11:50:00+03:00|2026-01-05 13:50:00+03:00|2026-01-05 16:25:00+03:00|2026-01-05 16:55:00+03:00|2026-01-06 10:55:00+03:00|2026-01-06 12:20:00+03:00,2,2,False,True,True,6|16|27|29|61|66,LOW|LOW|LOW|LOW|HIGH|HIGH,194,CNYRUBF-L6-V5,11.398333333333333,2026-01-06 12:30:00+03:00
CNYRUBF-L31,CNYRUBF-L31-V1,1,CNYRUBF,EL,11.378,2026-01-06 12:45:00+03:00,2026-01-06 11:20:00+03:00,2026-01-06 12:35:00+03:00,2,2026-01-06 11:20:00+03:00|2026-01-06 12:35:00+03:00,2,2,False,False,False,63|67,LOW|LOW,197,CNYRUBF-L31-V1,11.378,2026-01-06 12:45:00+03:00
CNYRUBF-L22,CNYRUBF-L22-V1,1,CNYRUBF,MIRROR,11.391,2026-01-06 12:55:00+03:00,2026-01-05 17:45:00+03:00,2026-01-06 12:40:00+03:00,2,2026-01-05 17:45:00+03:00|2026-01-06 12:40:00+03:00,2,2,False,True,True,35|68,LOW|HIGH,198,CNYRUBF-L22-V1,11.391,2026-01-06 12:55:00+03:00
CNYRUBF-L15,CNYRUBF-L15-V1,1,CNYRUBF,EL,11.38,2026-01-06 13:15:00+03:00,2026-01-05 15:00:00+03:00,2026-01-06 13:05:00+03:00,2,2026-01-05 15:00:00+03:00|2026-01-06 13:05:00+03:00,2,2,False,True,False,21|70,LOW|LOW,201,CNYRUBF-L15-V1,11.38,2026-01-06 13:15:00+03:00
CNYRUBF-L26,CNYRUBF-L26-V2,2,CNYRUBF,MIRROR,11.424666666666667,2026-01-06 13:40:00+03:00,2026-01-05 22:45:00+03:00,2026-01-06 13:30:00+03:00,3,2026-01-05 22:45:00+03:00|2026-01-05 23:35:00+03:00|2026-01-06 13:30:00+03:00,2,2,False,True,True,52|54|71,LOW|LOW|HIGH,206,CNYRUBF-L26-V2,11.424666666666667,2026-01-06 13:40:00+03:00
CNYRUBF-L2,CNYRUBF-L2-V3,3,CNYRUBF,MIRROR,11.426499999999999,2026-01-06 14:00:00+03:00,2026-01-05 11:05:00+03:00,2026-01-06 13:50:00+03:00,4,2026-01-05 11:05:00+03:00|2026-01-05 19:40:00+03:00|2026-01-05 22:30:00+03:00|2026-01-06 13:50:00+03:00,2,2,False,True,True,2|43|51|72,HIGH|HIGH|LOW|HIGH,210,CNYRUBF-L2-V3,11.426499999999999,2026-01-06 14:00:00+03:00
CNYRUBF-L23,CNYRUBF-L23-V1,1,CNYRUBF,EL,11.3865,2026-01-06 14:30:00+03:00,2026-01-05 18:25:00+03:00,2026-01-06 14:20:00+03:00,2,2026-01-05 18:25:00+03:00|2026-01-06 14:20:00+03:00,2,2,False,True,False,38|73,LOW|LOW,214,CNYRUBF-L23-V1,11.3865,2026-01-06 14:30:00+03:00
CNYRUBF-L21,CNYRUBF-L21-V1,1,CNYRUBF,EH,11.404,2026-01-06 14:35:00+03:00,2026-01-05 17:40:00+03:00,2026-01-06 14:25:00+03:00,2,2026-01-05 17:40:00+03:00|2026-01-06 14:25:00+03:00,2,2,False,True,False,34|74,HIGH|HIGH,215,CNYRUBF-L21-V1,11.404,2026-01-06 14:35:00+03:00
