generation,lifecycle_stage,strategy,timeframe,quarter,trades,PF,expectancy_R,net_R,max_drawdown_R,win_rate
v2,baseline,T3,M30,2023-Q3,105,1.00768674629,0.00357808986475,0.375699435798,-19.0028686679,0.342857142857
v2,baseline,T3,M30,2023-Q4,87,2.73128378171,0.568957419422,49.4992954897,-5.23298603061,0.528735632184
v2,baseline,T3,M30,2024-Q1,84,1.1689924441,0.0778218169525,6.53703262401,-11.4316518644,0.392857142857
v2,baseline,T3,M30,2024-Q2,118,1.31759015284,0.138760045593,16.37368538,-13.5165085536,0.423728813559
v2,baseline,T3,M30,2024-Q3,109,1.22929012149,0.105671010196,11.5181401114,-6.94427336948,0.339449541284
v2,baseline,T3,M30,2024-Q4,98,1.33804821946,0.167710690059,16.4356476258,-10.647262244,0.387755102041
v2,walk_forward,T3,M30,2024-Q1,65,1.05441310217,0.0281048969649,1.82681830272,-11.9990530828,0.384615384615
v2,walk_forward,T3,M30,2024-Q2,91,1.11155203404,0.0535317354535,4.87138792627,-13.6481471103,0.395604395604
v2,walk_forward,T3,M30,2024-Q3,89,1.18540708029,0.0844529355224,7.5163112615,-7.46530672433,0.348314606742
v2,walk_forward,T3,M30,2024-Q4,79,1.38501984568,0.193581499536,15.2929384634,-10.9503121975,0.392405063291
v2,true_oos,T3,M30,2025-Q1,77,1.18506345804,0.0940521886703,7.24201852762,-10.146288176,0.337662337662
v2,true_oos,T3,M30,2025-Q2,84,1.24519656899,0.127601920457,10.7185613184,-16.2272468101,0.321428571429
v2,true_oos,T3,M30,2025-Q3,93,2.20985837257,0.537518234365,49.9891957959,-13.0404722179,0.408602150538
v2,true_oos,T3,M30,2025-Q4,120,1.2415347724,0.117857977684,14.1429573221,-6.99597983123,0.425
v2,true_oos,T3,M30,2026-Q1,93,1.67132358749,0.373099767505,34.698278378,-18.6988938552,0.41935483871
v2,true_oos,T3,M30,2026-Q2,107,1.46902084055,0.219233796873,23.4580162655,-9.66675293214,0.411214953271
v2,true_oos,T3,M30,2026-Q3,124,1.2699103745,0.125010152914,15.5012589614,-6.6550890923,0.395161290323
v2,baseline,T3,H1,2020-Q1,24,4.79974157582,1.34005904747,32.1614171393,-4.17959388385,0.583333333333
v2,baseline,T3,H1,2020-Q2,13,0.29519777888,-0.394745106462,-5.131686384,-6.78647402529,0.230769230769
v2,baseline,T3,H1,2020-Q3,30,2.11859898751,0.413300102265,12.399003068,-2.39080683704,0.466666666667
v2,baseline,T3,H1,2020-Q4,32,0.510392561885,-0.23583199104,-7.54662371328,-8.27637239132,0.3125
v2,baseline,T3,H1,2021-Q1,29,0.925140163041,-0.0358662271594,-1.04012058762,-6.77722446033,0.310344827586
v2,baseline,T3,H1,2021-Q2,36,1.51010394062,0.239545791856,8.62364850683,-3.79227180734,0.361111111111
v2,baseline,T3,H1,2021-Q3,43,1.58872182596,0.236477173664,10.1685184676,-4.64946615001,0.488372093023
v2,baseline,T3,H1,2021-Q4,44,0.603004070348,-0.213026103417,-9.37314855033,-16.5453986539,0.295454545455
v2,baseline,T3,H1,2022-Q1,46,1.71299672909,0.304328533888,13.9991125589,-5.47760394991,0.369565217391
v2,baseline,T3,H1,2022-Q2,12,2.50924917869,0.320826390544,3.84991668653,-1.45430745023,0.666666666667
v2,baseline,T3,H1,2022-Q3,30,2.37081407613,0.424843942819,12.7453182846,-2.75920451591,0.533333333333
v2,baseline,T3,H1,2022-Q4,28,5.59459160584,0.959816840255,26.8748715271,-2.63052220234,0.607142857143
v2,baseline,T3,H1,2023-Q1,47,0.650896130887,-0.181582810267,-8.53439208253,-11.465141378,0.340425531915
v2,baseline,T3,H1,2023-Q2,44,1.83108506726,0.292458169131,12.8681594417,-8.43856911018,0.409090909091
v2,baseline,T3,H1,2023-Q3,49,1.00711683373,0.00324032759191,0.158776052004,-11.6611610233,0.34693877551
v2,baseline,T3,H1,2023-Q4,46,0.94720819248,-0.022954586785,-1.05591099211,-5.45936095442,0.391304347826
v2,baseline,T3,H1,2024-Q1,30,0.867802272323,-0.0793042858816,-2.37912857645,-10.334305793,0.266666666667
