generation,lifecycle_stage,strategy,timeframe,calendar_month,observed_years,trades,net_R,average_R_per_year,median_R_per_year,positive_year_count,negative_year_count,positive_year_share
v3,development,T2,M30,December,2,41,0.446233518666,0.223116759333,0.223116759333,1,1,0.5
v3,walk_forward,T2,M30,January,1,12,-0.389421185178,-0.389421185178,-0.389421185178,0,1,0
v3,walk_forward,T2,M30,February,1,15,-1.88890061675,-1.88890061675,-1.88890061675,0,1,0
v3,walk_forward,T2,M30,March,1,18,7.97449213217,7.97449213217,7.97449213217,1,0,1
v3,walk_forward,T2,M30,April,1,15,1.38441383061,1.38441383061,1.38441383061,1,0,1
v3,walk_forward,T2,M30,May,1,23,-0.731421228237,-0.731421228237,-0.731421228237,0,1,0
v3,walk_forward,T2,M30,June,1,19,7.67760677646,7.67760677646,7.67760677646,1,0,1
v3,walk_forward,T2,M30,July,1,13,11.7385030128,11.7385030128,11.7385030128,1,0,1
v3,walk_forward,T2,M30,August,1,13,4.38704521184,4.38704521184,4.38704521184,1,0,1
v3,walk_forward,T2,M30,September,1,19,0.0253372656656,0.0253372656656,0.0253372656656,1,0,1
v3,walk_forward,T2,M30,October,1,12,9.62563674757,9.62563674757,9.62563674757,1,0,1
v3,walk_forward,T2,M30,November,1,15,22.3337983283,22.3337983283,22.3337983283,1,0,1
v3,walk_forward,T2,M30,December,1,19,-0.739469655571,-0.739469655571,-0.739469655571,0,1,0
v3,true_oos,T2,M30,January,2,21,-4.975268848,-2.487634424,-2.487634424,0,2,0
v3,true_oos,T2,M30,February,2,47,7.08132967821,3.5406648391,3.5406648391,1,1,0.5
v3,true_oos,T2,M30,March,2,30,-5.52242438131,-2.76121219065,-2.76121219065,0,2,0
v3,true_oos,T2,M30,April,2,32,-4.17634827783,-2.08817413892,-2.08817413892,1,1,0.5
v3,true_oos,T2,M30,May,2,34,25.2611962296,12.6305981148,12.6305981148,2,0,1
v3,true_oos,T2,M30,June,2,31,0.0805813121236,0.0402906560618,0.0402906560618,1,1,0.5
v3,true_oos,T2,M30,July,2,41,-2.00763323529,-1.00381661764,-1.00381661764,0,2,0
v3,true_oos,T2,M30,August,2,40,-4.71050795999,-2.35525398,-2.35525398,0,2,0
v3,true_oos,T2,M30,September,2,32,5.66593513859,2.83296756929,2.83296756929,1,1,0.5
v3,true_oos,T2,M30,October,1,18,3.94567094723,3.94567094723,3.94567094723,1,0,1
v3,true_oos,T2,M30,November,1,13,4.45257470167,4.45257470167,4.45257470167,1,0,1
v3,true_oos,T2,M30,December,1,22,8.08788402474,8.08788402474,8.08788402474,1,0,1
v3,development,T2,H1,January,2,5,-0.965866213386,-0.482933106693,-0.482933106693,1,1,0.5
v3,development,T2,H1,February,2,14,4.60697342531,2.30348671265,2.30348671265,1,1,0.5
v3,development,T2,H1,March,2,15,-5.4521591293,-2.72607956465,-2.72607956465,0,2,0
v3,development,T2,H1,April,2,16,12.9523115862,6.47615579308,6.47615579308,2,0,1
v3,development,T2,H1,May,2,10,10.3720695419,5.18603477096,5.18603477096,1,1,0.5
