variant,month,trades,PF,net_R,positive_months,negative_months,largest_losing_month_R,largest_winning_month_R
EMA50_NORMAL,2023-02,14,3.83799593066,13.6248517842,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2023-03,18,0.349526239964,-7.5877251644,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2023-04,14,4.08874897037,20.4923347636,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2023-05,9,0.905339291271,-0.562055849124,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2023-06,16,0.464399961674,-5.52842922304,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2023-07,18,1.00672995715,0.0553194086579,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2023-08,14,3.11954412816,12.7890839636,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2023-09,14,0.517364457914,-3.56183455162,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2023-10,10,1.40491432308,1.84898247873,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2023-11,14,0.944329507451,-0.473110184286,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2023-12,17,3.49858008457,18.2953085551,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2024-01,20,0.682390836604,-3.11607454833,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2024-02,15,2.40856791218,9.18758806631,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2024-03,19,1.82558010406,8.31968926976,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2024-04,19,1.47993028454,5.37826233586,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2024-05,8,2.22759966287,6.22046019747,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2024-06,6,0.252989605415,-2.37376367333,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2024-07,14,0.118365970754,-8.99575815936,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2024-08,17,1.33095918126,2.30109696322,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2024-09,17,1.08742139749,1.11517837139,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2024-10,13,0.300101656473,-5.00915596137,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2024-11,15,6.36089702786,28.0622449596,14,10,-10.5837780453,28.0622449596
EMA50_NORMAL,2024-12,17,1.52980864027,3.62280254145,14,10,-10.5837780453,28.0622449596
EMA50_EXTENDED,2023-01,40,0.792227952484,-3.45382612296,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2023-02,55,0.878270602344,-3.83077946155,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2023-03,47,0.995940046693,-0.105981084139,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2023-04,47,1.61894792626,18.7442469038,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2023-05,54,0.979131459642,-0.615157977904,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2023-06,62,0.889767850321,-3.89265575546,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2023-07,61,1.19876247456,5.66542187183,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2023-08,65,1.03049681201,1.09580581381,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2023-09,61,0.617570744852,-13.5899541372,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2023-10,70,1.52560991504,15.1981273658,12,12,-30.5863170855,36.770716691
EMA50_EXTENDED,2023-11,71,1.09396100743,3.718169991,12,12,-30.5863170855,36.770716691
