trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,instrument,timeframe,net_R,year
T3-M15-CNY-000015,T3,CNY,LONG,2023-03-31 16:30:00+03:00,11.34,11.2949338117,0.0450661882846,2023-03-31 17:00:00+03:00,11.2949338117,ATR_TRAILING_STOP,2,-968.394142945,-1,0.0450661882846,0,1,0,-0.0450661882846,-1,21488.2638139,0,-968.394142945,0.001,45.0661882846,0,T3_MTF_Trend_v1.0,0.0450661882846,CNYRUBF,M15,-1.04437916931,2023
T3-M15-Si-000018,T3,Si,LONG,2023-03-31 14:00:00+03:00,77.52,77.3623783105,0.157621689465,2023-03-31 17:30:00+03:00,77.5637171688,ATR_TRAILING_STOP,14,293.696810186,0.277355032486,0.02,0.46,0.126886090791,2.91838008819,0.043717168802,0.277355032486,6718.11140187,0,293.696810186,0.001,157.621689465,0,T3_MTF_Trend_v1.0,0.157621689465,USDRUBF,M15,0.264666423407,2023
T3-M15-Si-000019,T3,Si,LONG,2023-04-03 10:30:00+03:00,77.75,77.5239544198,0.226045580204,2023-04-04 09:30:00+03:00,79.3311294899,ATR_TRAILING_STOP,56,7427.41120704,6.99473747059,0.11,2.05,0.48662751955,9.0689674098,1.58112948991,6.99473747059,4697.53505606,0,7427.41120704,0.001,226.045580204,0,T3_MTF_Trend_v1.0,0.226045580204,USDRUBF,M15,6.98588969751,2023
T3-M15-CNY-000016,T3,CNY,LONG,2023-04-03 12:45:00+03:00,11.31,11.2721782677,0.0378217323493,2023-04-04 14:30:00+03:00,11.5238710279,ATR_TRAILING_STOP,66,5421.23069167,5.65471263693,0.01,0.28,0.264398254095,7.40315111465,0.213871027867,5.65471263693,25348.1303464,0,5421.23069167,0.001,37.8217323493,0,T3_MTF_Trend_v1.0,0.0378217323493,CNYRUBF,M15,5.60183298612,2023
T3-M15-CNY-000017,T3,CNY,LONG,2023-04-04 19:30:00+03:00,11.54,11.4939347997,0.0460652003383,2023-04-06 16:00:00+03:00,11.7036085811,ATR_TRAILING_STOP,105,3597.5706859,3.55167414679,0.02,0.25,0.434167220659,5.42709025824,0.163608581108,3.55167414679,21988.8875115,0,3597.5706859,0.001,46.0652003383,0,T3_MTF_Trend_v1.0,0.0460652003383,CNYRUBF,M15,3.50825742472,2023
T3-M15-Si-000020,T3,Si,LONG,2023-04-06 13:45:00+03:00,80.92,80.6730186482,0.246981351841,2023-04-06 16:00:00+03:00,80.6730186482,ATR_TRAILING_STOP,9,-1136.13114935,-1,0.246981351841,0.18,1,0.728799962664,-0.246981351841,-1,4600.06855125,0,-1136.13114935,0.001,246.981351841,0,T3_MTF_Trend_v1.0,0.246981351841,USDRUBF,M15,-1.00809777736,2023
T3-M15-Si-000021,T3,Si,LONG,2023-04-06 18:15:00+03:00,81.16,80.8633186352,0.296681364833,2023-04-07 09:30:00+03:00,82.1314387741,ATR_TRAILING_STOP,25,3682.89067642,3.27435049596,0.00999999999999,1.5,0.0337061952159,5.05592928239,0.971438774085,3.27435049596,3791.17117276,0,3682.89067642,0.001,296.681364833,0,T3_MTF_Trend_v1.0,0.296681364833,USDRUBF,M15,3.26760925692,2023
T3-M15-CNY-000018,T3,CNY,LONG,2023-04-06 18:45:00+03:00,11.82,11.7666267341,0.0533732659446,2023-04-07 10:15:00+03:00,11.9144780687,ATR_TRAILING_STOP,26,1856.69503015,1.77013842056,0.02,0.19,0.374719433897,3.55983462202,0.0944780686795,1.77013842056,19652.1272725,0,1856.69503015,0.001,53.3732659446,0,T3_MTF_Trend_v1.0,0.0533732659446,CNYRUBF,M15,1.73266647717,2023
T3-M15-CNY-000019,T3,CNY,LONG,2023-04-07 12:30:00+03:00,12.03,11.9761819634,0.0538180366082,2023-04-07 13:45:00+03:00,12.0273735801,ATR_TRAILING_STOP,5,-52.0942781864,-0.0488018530867,0.01,0.11,0.185811312159,2.04392443375,-0.00262641991597,-0.0488018530867,19834.7103103,0,-52.0942781864,0.001,53.8180366082,0,T3_MTF_Trend_v1.0,0.0538180366082,CNYRUBF,M15,-0.0859641155185,2023
T3-M15-Si-000022,T3,Si,LONG,2023-04-07 12:45:00+03:00,82.94,82.5782640506,0.361735949392,2023-04-07 13:45:00+03:00,82.7238091478,ATR_TRAILING_STOP,4,-694.22744116,-0.59764823643,0.216190852207,0.48,0.59764823643,1.32693474565,-0.216190852207,-0.59764823643,3211.17861404,0,-694.22744116,0.001,361.735949392,0,T3_MTF_Trend_v1.0,0.361735949392,USDRUBF,M15,-0.603177131204,2023
T3-M15-CNY-000020,T3,CNY,LONG,2023-04-10 10:45:00+03:00,11.87,11.819177079,0.050822920981,2023-04-10 15:00:00+03:00,11.85,ATR_TRAILING_STOP,17,-419.867336319,-0.393523229558,0.02,0.05,0.393523229558,0.983808073894,-0.02,-0.393523229558,20993.3668159,0,-419.867336319,0.001,50.822920981,0,T3_MTF_Trend_v1.0,0.050822920981,CNYRUBF,M15,-0.432875552514,2023
T3-M15-Si-000023,T3,Si,LONG,2023-04-10 09:15:00+03:00,81.18,80.9119737857,0.268026214283,2023-04-10 15:15:00+03:00,81.4881312315,ATR_TRAILING_STOP,24,1327.42881543,1.14963095058,0.2,0.84,0.746195667969,3.13402180547,0.308131231506,1.14963095058,4307.9982803,0,1327.42881543,0.001,268.026214283,0,T3_MTF_Trend_v1.0,0.268026214283,USDRUBF,M15,1.1421689939,2023
T3-M15-CNY-000021,T3,CNY,SHORT,2023-04-27 18:00:00+03:00,11.7,11.7366176089,0.036617608939,2023-04-27 19:15:00+03:00,11.7366176089,ATR_TRAILING_STOP,5,-1062.74554945,-1,0.036617608939,0,1,0,-0.036617608939,-1,29022.8002385,0,-1062.74554945,0.001,36.617608939,0,T3_MTF_Trend_v1.0,0.036617608939,CNYRUBF,M15,-1.05461853075,2023
T3-M15-CNY-000022,T3,CNY,SHORT,2023-04-28 12:15:00+03:00,11.68,11.7185038713,0.0385038712558,2023-04-28 16:45:00+03:00,11.5220576734,ATR_TRAILING_STOP,18,4315.77330161,4.10198562919,0.01,0.28,0.259714144938,7.27199605827,0.157942326559,4.10198562919,27324.9951145,0,4315.77330161,0.001,38.5038712558,0,T3_MTF_Trend_v1.0,0.0385038712558,CNYRUBF,M15,4.0500428002,2023
T3-M15-Si-000024,T3,Si,SHORT,2023-04-28 11:15:00+03:00,81.12,81.302849777,0.182849777029,2023-04-28 16:45:00+03:00,79.7405270956,ATR_TRAILING_STOP,22,8811.21575073,7.54429634434,0.06,2.1,0.328138218022,11.4848376308,1.3794729044,7.54429634434,6387.37863036,0,8811.21575073,0.001,182.849777029,0,T3_MTF_Trend_v1.0,0.182849777029,USDRUBF,M15,7.53335840374,2023
