trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,instrument,strategy,timeframe_pair,net_R
T2-CNY-000013,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-03-31 19:45:00+03:00,2023-03-31 20:30:00+03:00,2023-03-31 20:30:00+03:00,11.3,11.2780393865,0.0219606135079,21.9606135079,2023-04-03 09:15:00+03:00,11.2780393865,INITIAL_STOP,12,-1,0.0910721369092,-1.09107213691,0.910721369092,0,2023-03-31 19:15:00+03:00,3,46941.5520626,CNYRUBF,T2,H1_M15,-1.09107213691
T2-Si-000024,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-04-04 18:00:00+03:00,2023-04-04 18:30:00+03:00,2023-04-04 18:30:00+03:00,79.46,79.1961423007,0.26385769933,263.85769933,2023-04-05 09:15:00+03:00,79.4143706404,ATR_TRAILING_STOP,23,-0.172931696706,0.00757984324534,-0.180511539951,0.378992162267,0.45479059472,2023-04-04 17:45:00+03:00,2,3816.54795244,USDRUBF,T2,H1_M15,-0.180511539951
T2-CNY-000014,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-04-05 12:15:00+03:00,2023-04-05 13:00:00+03:00,2023-04-05 13:00:00+03:00,11.56,11.5382854734,0.0217145266496,21.7145266496,2023-04-06 16:00:00+03:00,11.7151825944,ATR_TRAILING_STOP,72,7.14648755055,0.0921042411962,7.05438330935,0.921042411962,10.5919877376,2023-04-05 11:15:00+03:00,3,46955.5618178,CNYRUBF,T2,H1_M15,7.05438330935
T2-Si-000025,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-04-06 16:00:00+03:00,2023-04-06 16:30:00+03:00,2023-04-06 16:30:00+03:00,80.87,80.5238628387,0.346137161344,346.137161344,2023-04-07 09:30:00+03:00,82.16,ATR_TRAILING_STOP,32,3.72684630275,0.00577805628334,3.72106824647,0.26001253275,5.17136037359,2023-04-06 15:45:00+03:00,2,2904.07352063,USDRUBF,T2,H1_M15,3.72106824647
T2-CNY-000015,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-04-06 16:15:00+03:00,2023-04-06 16:30:00+03:00,2023-04-06 16:30:00+03:00,11.76,11.6870261924,0.0729738075823,72.9738075823,2023-04-07 09:45:00+03:00,11.9281240589,ATR_TRAILING_STOP,33,2.30389593799,0.0274070939459,2.27648884404,0.411106409189,3.42588674324,2023-04-06 15:45:00+03:00,1,14958.045666,CNYRUBF,T2,H1_M15,2.27648884404
T2-Si-000026,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-04-25 16:30:00+03:00,2023-04-25 17:15:00+03:00,2023-04-25 17:15:00+03:00,81.53,81.4222699178,0.107730082162,107.730082162,2023-04-25 18:30:00+03:00,81.4222699178,INITIAL_STOP,5,-1,0.0185649166868,-1.01856491669,0.556947500604,0.185649166868,2023-04-25 15:00:00+03:00,3,9678.00460917,USDRUBF,T2,H1_M15,-1.01856491669
T2-CNY-000016,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2023-05-04 19:15:00+03:00,2023-05-04 20:00:00+03:00,2023-05-04 20:00:00+03:00,11.27,11.2924940261,0.0224940261237,22.4940261237,2023-05-04 21:30:00+03:00,11.2924940261,INITIAL_STOP,6,-1,0.0889124956555,-1.08891249566,0.444562478278,0.444562478278,2023-05-04 18:30:00+03:00,3,49630.7087349,CNYRUBF,T2,H1_M15,-1.08891249566
T2-Si-000027,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2023-05-04 18:15:00+03:00,2023-05-04 18:30:00+03:00,2023-05-04 18:30:00+03:00,77.91,78.0873130668,0.177313066831,177.313066831,2023-05-04 21:30:00+03:00,78.0873130668,INITIAL_STOP,12,-1,0.0112794845622,-1.01127948456,0.845961342166,0.620371650922,2023-05-04 17:45:00+03:00,1,5820.17201408,USDRUBF,T2,H1_M15,-1.01127948456
T2-Si-000028,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2023-05-05 13:30:00+03:00,2023-05-05 14:15:00+03:00,2023-05-05 14:15:00+03:00,76.96,77.1991162134,0.239116213427,239.116213427,2023-05-05 14:45:00+03:00,77.1991162134,INITIAL_STOP,2,-1,0.00836413378806,-1.00836413379,0.585489365164,0,2023-05-05 13:15:00+03:00,3,4272.21644959,USDRUBF,T2,H1_M15,-1.00836413379
T2-Si-000029,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2023-05-05 21:30:00+03:00,2023-05-05 21:45:00+03:00,2023-05-05 21:45:00+03:00,77.26,77.3527328171,0.0927328170592,92.7328170592,2023-05-08 09:15:00+03:00,77.4,INITIAL_STOP,10,-1.50971365305,0.0215673379007,-1.53128099095,0.647020137021,1.18620358454,2023-05-05 20:00:00+03:00,1,10905.0414503,USDRUBF,T2,H1_M15,-1.53128099095
