strategy,diagnostic_run_id,month,trades,PF,expectancy,net_R
T3,LEGACY_DATA__LEGACY_PARAMS,2025-11,4,0,-0.672065534886,-2.68826213954
T3,LEGACY_DATA__LEGACY_PARAMS,2025-12,9,0.0941603766513,-0.436994436321,-3.93294992689
T3,LEGACY_DATA__LEGACY_PARAMS,2026-01,4,2.25154215316,0.159199423101,0.636797692404
T3,LEGACY_DATA__LEGACY_PARAMS,2026-02,3,0,-0.888272888212,-2.66481866464
T3,LEGACY_DATA__LEGACY_PARAMS,2026-03,9,51.1094415692,1.69447484939,15.2502736445
T3,LEGACY_DATA__LEGACY_PARAMS,2026-04,3,2.72688138676,0.495459162573,1.48637748772
T3,LEGACY_DATA__LEGACY_PARAMS,2026-05,4,4.80921382965,0.495764749748,1.98305899899
T3,LEGACY_DATA__LEGACY_PARAMS,2026-06,8,4.65444469596,0.75591724676,6.04733797408
T3,LEGACY_DATA__LEGACY_PARAMS,2026-07,4,0,-0.4017816009,-1.6071264036
T3,LEGACY_DATA__LEGACY_PARAMS,2026-08,12,11.69524682,1.35972811568,16.3167373881
T3,LEGACY_DATA__V2_PARAMS,2025-01,0,,,0
T3,LEGACY_DATA__V2_PARAMS,2025-02,2,,1.10959227399,2.21918454798
T3,LEGACY_DATA__V2_PARAMS,2025-03,3,4.80769150738,1.27137045566,3.81411136699
T3,LEGACY_DATA__V2_PARAMS,2025-04,3,0.274454566406,-0.462194382299,-1.3865831469
T3,LEGACY_DATA__V2_PARAMS,2025-05,0,,,0
T3,LEGACY_DATA__V2_PARAMS,2025-06,4,0,-1.0164124473,-4.06564978922
T3,LEGACY_DATA__V2_PARAMS,2025-07,5,16.2623648181,2.02114401521,10.105720076
T3,LEGACY_DATA__V2_PARAMS,2025-08,0,,,0
T3,LEGACY_DATA__V2_PARAMS,2025-09,4,13.8561950619,2.76289459926,11.0515783971
T3,LEGACY_DATA__V2_PARAMS,2025-10,11,2.07609367959,0.460229903945,5.0625289434
T3,LEGACY_DATA__V2_PARAMS,2025-11,4,0,-0.672065534886,-2.68826213954
T3,LEGACY_DATA__V2_PARAMS,2025-12,6,0.280593604021,-0.174695037154,-1.04817022292
T3,LEGACY_DATA__V2_PARAMS,2026-01,3,2.63544014608,0.236971612561,0.710914837683
T3,LEGACY_DATA__V2_PARAMS,2026-02,2,0,-0.655881173235,-1.31176234647
T3,LEGACY_DATA__V2_PARAMS,2026-03,9,67.9374713965,2.26352276559,20.3717048903
T3,LEGACY_DATA__V2_PARAMS,2026-04,3,2.23835305741,0.355295605995,1.06588681799
T3,LEGACY_DATA__V2_PARAMS,2026-05,5,0.970103286021,-0.00950591272536,-0.0475295636268
