outcome_group,dimension,category,trades,win_rate,PF,expectancy_R,net_R,average_R,median_R,max_drawdown_contribution_R,average_holding_time
short_winner,volatility,normal_volatility,9,1,DATA_UNAVAILABLE,1.07849343353,9.70644090175,1.07849343353,0.360759071191,0,36.6666666667
short_winner,volatility,high_volatility,10,1,DATA_UNAVAILABLE,0.92137631346,9.2137631346,0.92137631346,0.906524754665,0,43
short_winner,candle_quality,strong_body,15,1,DATA_UNAVAILABLE,1.13741421323,17.0612131984,1.13741421323,0.84529004147,0,40.6666666667
short_winner,candle_quality,weak_body,2,1,DATA_UNAVAILABLE,0.573332547337,1.14666509467,0.573332547337,0.573332547337,0,40
short_winner,candle_quality,long_wick,9,1,DATA_UNAVAILABLE,0.753328346899,6.77995512209,0.753328346899,0.659595227375,0,31.1111111111
short_winner,candle_quality,neutral,6,1,DATA_UNAVAILABLE,0.5983548454,3.5901290724,0.5983548454,0.498169490672,0,38.3333333333
short_winner,instrument,USDRUBF,21,1,DATA_UNAVAILABLE,0.94677629947,19.8823022889,0.94677629947,0.591468703846,0,37.380952381
short_winner,instrument,CNYRUBF,11,1,DATA_UNAVAILABLE,0.790514563519,8.6956601987,0.790514563519,0.848873397653,0,37.7272727273
short_winner,session,Session_A,5,1,DATA_UNAVAILABLE,0.526093137298,2.63046568649,0.526093137298,0.551187718277,0,35
short_winner,session,Session_B,22,1,DATA_UNAVAILABLE,1.01378991137,22.3033780502,1.01378991137,0.681307286606,0,38.1818181818
short_winner,session,Session_C,5,1,DATA_UNAVAILABLE,0.728823750182,3.64411875091,0.728823750182,0.848873397653,0,37
short_winner,instrument_session,USDRUBF|Session_A,3,1,DATA_UNAVAILABLE,0.467239732264,1.40171919679,0.467239732264,0.551187718277,0,35
short_winner,instrument_session,USDRUBF|Session_B,14,1,DATA_UNAVAILABLE,1.12038126706,15.6853377388,1.12038126706,0.647244024842,0,38.9285714286
short_winner,instrument_session,USDRUBF|Session_C,4,1,DATA_UNAVAILABLE,0.698811338314,2.79524535326,0.698811338314,0.671131293795,0,33.75
short_winner,instrument_session,CNYRUBF|Session_A,2,1,DATA_UNAVAILABLE,0.614373244848,1.2287464897,0.614373244848,0.614373244848,0,35
short_winner,instrument_session,CNYRUBF|Session_B,8,1,DATA_UNAVAILABLE,0.827255038919,6.61804031135,0.827255038919,0.769086175201,0,36.875
short_winner,instrument_session,CNYRUBF|Session_C,1,1,DATA_UNAVAILABLE,0.848873397653,0.848873397653,0.848873397653,0.848873397653,0,50
short_winner,market_regime,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE
