trade_id,strategy_id,symbol,direction,range_context_time,range_high,range_low,range_midpoint,sweep_time,sweep_extreme,sweep_depth_points,sweep_depth_atr,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,target_price,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,ADX_H1_entry,EMA200_slope_ATR_H1_entry,ATR_M15_entry,quantity
Si-000028,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,SHORT,2023-09-29T11:00:00+0300,97.28,96.53,96.905,2023-09-29T11:15:00+0300,97.32,0.03999999999999204,0.3898622671476279,2023-09-29T11:15:00+0300,97.2,97.3302600337018,0.13026003370180206,130.26003370180206,96.905,2023-09-29T12:45:00+0300,97.3302600337018,STOP,6,-1.0,0.0153539035970043,-1.0153539035970043,1.0,0.8444646978352321,19.619437745549035,0.31248878868422175,0.10260033701811253,7280.26880571856
CNY-000011,R2_Liquidity_Sweep_False_Breakout_v1.0,CNY,LONG,2023-10-12T00:00:00+0300,13.824,13.295,13.5595,2023-10-12T09:30:00+0300,13.279,0.016000000000000014,0.3296809118977287,2023-10-12T09:30:00+0300,13.305,13.274146822450867,0.030853177549133193,30.853177549133193,13.5595,2023-10-12T10:00:00+0300,13.274146822450867,STOP,2,-1.0,0.06482314493588325,-1.0648231449358831,1.0,0.35652729714739056,16.865789846923313,0.13344373903085982,0.04853177549133758,32220.74971847908
Si-000029,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,LONG,2023-10-12T00:00:00+0300,100.72,97.1,98.91,2023-10-12T09:30:00+0300,96.91,0.18999999999999773,0.5298845167784422,2023-10-12T09:30:00+0300,97.15,96.87414313043998,0.2758568695600303,275.8568695600303,98.91,2023-10-12T10:00:00+0300,96.87414313043998,STOP,2,-1.0,0.0072501366494510016,-1.007250136649451,1.0,0.21750409948348676,18.908357898504537,0.13163484930608288,0.3585686956002178,3402.8486421679577
CNY-000012,R2_Liquidity_Sweep_False_Breakout_v1.0,CNY,LONG,2023-10-12T10:00:00+0300,13.824,13.24,13.532,2023-10-12T10:15:00+0300,13.226,0.013999999999999346,0.2900671246948993,2023-10-12T10:15:00+0300,13.271,13.221173530949182,0.049826469050819,49.826469050819,13.532,2023-10-12T14:15:00+0300,13.306,TIME_EXIT,16,0.7024378942907067,0.040139308245185114,0.6622985860455216,0.4013930824518782,1.3446668262136692,20.197593274810316,0.07055067355780929,0.04826469050818819,19739.046142616007
Si-000030,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,LONG,2023-10-12T10:00:00+0300,100.72,96.63,98.675,2023-10-12T10:15:00+0300,96.47,0.1599999999999966,0.4399218566929924,2023-10-12T10:15:00+0300,96.85,96.43362990436466,0.41637009563532956,416.37009563532956,98.675,2023-10-12T14:15:00+0300,97.06,TIME_EXIT,16,0.5043589878364674,0.0048034189317756985,0.49955556890469166,0.4323077038597951,1.0567521649906824,22.39096588741975,0.06523601890792353,0.3637009563533815,2231.774411858629
CNY-000013,R2_Liquidity_Sweep_False_Breakout_v1.0,CNY,SHORT,2023-11-27T23:00:00+0300,12.43,12.325,12.3775,2023-11-27T23:30:00+0300,12.434,0.0039999999999995595,0.4486589416736083,2023-11-27T23:30:00+0300,12.429,12.434891545810961,0.005891545810960963,5.891545810960963,12.3775,2023-11-28T11:00:00+0300,12.3775,RANGE_MIDPOINT_TARGET,10,8.74133914128059,0.33946948121477516,8.401869660065815,0.6789389624294756,8.74133914128059,16.19422466468895,0.17886100300800648,0.008915458109624595,168044.32804424263
CNY-000014,R2_Liquidity_Sweep_False_Breakout_v1.0,CNY,SHORT,2023-11-28T17:00:00+0300,12.434,12.325,12.3795,2023-11-28T17:30:00+0300,12.439,0.005000000000000782,0.40426928056545647,2023-11-28T17:30:00+0300,12.432,12.440236799390991,0.008236799390990868,8.236799390990868,12.3795,2023-11-28T18:00:00+0300,12.443,STOP,2,-1.3354701842114378,0.2428127607657329,-1.5782829449771707,1.3354701842114378,0.4856255215314123,17.12054535174797,0.1740681353011332,0.012367993909918704,130296.09541062318
Si-000031,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,LONG,2023-11-29T15:00:00+0300,89.6,88.65,89.125,2023-11-29T15:45:00+0300,88.53,0.12000000000000455,0.998413523513764,2023-11-29T15:45:00+0300,88.69,88.51798093203128,0.17201906796871924,172.01906796871924,89.125,2023-11-29T16:00:00+0300,88.63,RANGE_FAILURE,1,-0.3487985413972418,0.011626618046574288,-0.3604251594438161,0.8138632632602034,0.5813309023287639,17.870341853026588,0.22900655570388234,0.120190679687193,5428.969166653938
Si-000032,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,LONG,2023-11-29T16:00:00+0300,89.6,88.65,89.125,2023-11-29T16:30:00+0300,88.55,0.10000000000000853,0.7254290199577182,2023-11-29T16:30:00+0300,88.66,88.53621505381659,0.12378494618340596,123.78494618340596,89.125,2023-11-29T17:00:00+0300,88.53621505381659,STOP,2,-1.0,0.016157053516319343,-1.0161570535163194,1.0,0.5654968730712367,18.896010242843282,0.2540270431576281,0.1378494618340979,7517.232780605599
Si-000033,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,SHORT,2023-11-30T19:00:00+0300,89.65,88.4,89.025,2023-11-30T19:15:00+0300,89.68,0.030000000000001137,0.2179370257787867,2023-11-30T19:15:00+0300,89.56,89.69376544434927,0.1337654443492653,133.7654443492653,89.025,2023-11-30T23:15:00+0300,89.46,TIME_EXIT,16,0.7475772273361253,0.014951544546721233,0.7326256827894041,0.0,2.4670048502089905,21.803666351119734,0.24945283186285108,0.13765444349255335,6885.670005946436
