trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,instrument,strategy,timeframe,fold_id,net_R
T2-M15-WF01-test-CNY-000021,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-04-23 12:00:00+03:00,2024-04-23 12:15:00+03:00,2024-04-23 12:15:00+03:00,12.855,12.865874998,0.0108749979889,10.8749979889,2024-04-23 15:45:00+03:00,12.8317371134,ATR_TRAILING_STOP,14,2.13911640735,0.183908079986,1.95520832736,0.643678279951,4.78161007964,2024-04-23 10:45:00+03:00,1,87715.6386443,CNYRUBF,T2,M15,WF01,1.95520832736
T2-M15-WF01-test-CNY-000022,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-04-23 16:00:00+03:00,2024-04-23 16:15:00+03:00,2024-04-23 16:15:00+03:00,12.826,12.8461258071,0.0201258070709,20.1258070709,2024-04-24 00:00:00+03:00,12.8174218825,ATR_TRAILING_STOP,31,0.426224769194,0.0993748967657,0.326849872428,0.745311725743,1.09312386442,2024-04-23 15:45:00+03:00,1,48323.9388725,CNYRUBF,T2,M15,WF01,0.326849872428
T2-M15-WF01-test-Si-000017,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2024-04-23 16:15:00+03:00,2024-04-23 17:00:00+03:00,2024-04-23 17:00:00+03:00,93.32,93.4177788583,0.0977788583236,97.7788583236,2024-04-24 15:15:00+03:00,92.6648494764,ATR_TRAILING_STOP,53,6.70032903664,0.0204543194131,6.67987471723,0.204543194131,8.69308575057,2024-04-23 15:45:00+03:00,3,10267.7364687,USDRUBF,T2,M15,WF01,6.67987471723
T2-M15-WF01-test-CNY-000023,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-04-25 10:45:00+03:00,2024-04-25 11:30:00+03:00,2024-04-25 11:30:00+03:00,12.679,12.6971611966,0.0181611965842,18.1611965842,2024-04-25 11:45:00+03:00,12.6971611966,INITIAL_STOP,1,-1,0.110124902328,-1.11012490233,0,0,2024-04-25 10:30:00+03:00,3,53726.4751031,CNYRUBF,T2,M15,WF01,-1.11012490233
T2-M15-WF01-test-CNY-000024,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-04-25 13:30:00+03:00,2024-04-25 13:45:00+03:00,2024-04-25 13:45:00+03:00,12.69,12.7082847238,0.0182847237841,18.2847237841,2024-04-25 23:00:00+03:00,12.689,ATR_TRAILING_STOP,37,0.0546904624761,0.109380924952,-0.0546904624762,0.656285549714,0.820356937143,2024-04-25 11:30:00+03:00,1,52771.1103134,CNYRUBF,T2,M15,WF01,-0.0546904624762
T2-M15-WF01-test-Si-000018,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2024-04-29 18:00:00+03:00,2024-04-29 18:15:00+03:00,2024-04-29 18:15:00+03:00,93.02,92.8419202817,0.178079718332,178.079718332,2024-04-29 22:00:00+03:00,92.9433984299,ATR_TRAILING_STOP,15,-0.430153253028,0.0112309252212,-0.441384178249,0.393082382741,0.393082382741,2024-04-29 16:45:00+03:00,1,6014.3363546,USDRUBF,T2,M15,WF01,-0.441384178249
T2-M15-WF01-test-Si-000019,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2024-04-30 13:45:00+03:00,2024-04-30 14:15:00+03:00,2024-04-30 14:15:00+03:00,93.34,93.1819108848,0.158089115161,158.089115161,2024-04-30 16:15:00+03:00,93.2163187094,ATR_TRAILING_STOP,8,-0.78235171669,0.0126510923789,-0.795002809069,0.506043695157,0.569299157052,2024-04-30 13:30:00+03:00,2,6744.95495842,USDRUBF,T2,M15,WF01,-0.795002809069
T2-M15-WF02-test-Si-000001,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2024-05-06 10:45:00+03:00,2024-05-06 11:00:00+03:00,2024-05-06 11:00:00+03:00,91.72,91.8271644122,0.107164412193,107.164412193,2024-05-06 16:00:00+03:00,91.3173286984,ATR_TRAILING_STOP,20,3.75750954435,0.0186629120533,3.7388466323,0,6.43870465839,2024-05-06 10:30:00+03:00,1,9331.45602666,USDRUBF,T2,M15,WF02,3.7388466323
T2-M15-WF02-test-CNY-000001,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-05-06 16:30:00+03:00,2024-05-06 17:15:00+03:00,2024-05-06 17:15:00+03:00,12.644,12.6815738666,0.0375738666246,37.5738666246,2024-05-06 20:30:00+03:00,12.672,EMA50_TREND_LOSS,13,-0.745198791484,0.053228485106,-0.79842727659,0.825041519143,0,2024-05-06 15:45:00+03:00,3,26614.242553,CNYRUBF,T2,M15,WF02,-0.79842727659
T2-M15-WF02-test-Si-000002,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2024-05-08 16:45:00+03:00,2024-05-08 17:30:00+03:00,2024-05-08 17:30:00+03:00,91.97,91.8502308996,0.119769100368,119.769100368,2024-05-10 10:15:00+03:00,92.0171605322,ATR_TRAILING_STOP,31,0.393762097609,0.0166987978857,0.377063299723,0.500963936572,1.753373778,2024-05-08 16:30:00+03:00,3,8661.57016406,USDRUBF,T2,M15,WF02,0.377063299723
