portfolio_id,exit_time,strategy,trade_id,trade_R,cumulative_R
C,2025-03-18T11:00:00+00:00,T3,Si-000005,1.6241518645,4.46455228226
C,2025-03-18T14:00:00+00:00,T3,CNY-000002,1.23000835996,5.69456064221
C,2025-03-19T08:00:00+00:00,T2,CNY-000004,-0.403818283533,5.29074235868
C,2025-04-15T15:00:00+00:00,T2,CNY-000005,-0.100649757155,5.19009260152
C,2025-04-15T15:00:00+00:00,T3,CNY-000003,-0.508753407585,4.68133919394
C,2025-04-16T10:00:00+00:00,T3,Si-000006,-0.446791953668,4.23454724027
C,2025-04-18T10:00:00+00:00,T2,Si-000005,1.20898164309,5.44352888336
C,2025-04-18T10:00:00+00:00,T3,CNY-000004,0.262253787804,5.70578267117
C,2025-04-21T13:00:00+00:00,T2,CNY-000006,-0.39583179557,5.30995087559
C,2025-04-23T07:00:00+00:00,T2,Si-000006,0.124355138481,5.43430601408
C,2025-05-16T09:00:00+00:00,T2,Si-000007,-0.148617717117,5.28568829696
C,2025-05-30T14:00:00+00:00,T2,Si-000008,-0.50253672217,4.78315157479
C,2025-06-02T07:00:00+00:00,T2,CNY-000007,-0.354866692448,4.42828488234
C,2025-06-11T07:00:00+00:00,T3,CNY-000005,-0.514593444785,3.91369143756
C,2025-06-16T08:00:00+00:00,T3,CNY-000006,-0.51385295514,3.39983848242
C,2025-06-16T10:00:00+00:00,T3,Si-000007,-0.502006792765,2.89783168965
C,2025-07-04T13:00:00+00:00,T2,CNY-000008,-0.456152847376,2.44167884228
C,2025-07-04T13:00:00+00:00,T2,Si-000009,-0.314394080817,2.12728476146
C,2025-07-11T08:00:00+00:00,T3,Si-000008,-0.464048262572,1.66323649889
C,2025-07-17T07:00:00+00:00,T2,Si-000010,0.07535654101,1.7385930399
C,2025-07-17T08:00:00+00:00,T3,CNY-000007,-0.105661519357,1.63293152054
C,2025-07-17T08:00:00+00:00,T3,Si-000009,-0.225405133697,1.40752638684
C,2025-07-18T07:00:00+00:00,T2,Si-000011,-0.49006534219,0.917461044652
