generation,futures_type,lifecycle_stage,strategy,timeframe,removed_instrument,original_instrument_count,remaining_instruments,months_observed,total_net_R,mean_monthly_R,median_monthly_R,positive_month_share,monthly_R_std,worst_month_R,monthly_equity_max_drawdown_R,longest_negative_month_streak,delta_total_R_vs_full,delta_positive_month_share,delta_monthly_std,delta_worst_month_R,delta_monthly_equity_DD
v2,quarterly,true_oos,T3,M30,GD,6,Si|CNY|BR|MIX|NG,21,127.094916462,6.05213887915,4.13493190698,0.714285714286,11.2971143503,-9.66821849079,-13.7405839909,2,-28.6553701066,0,-1.22594218914,2.09718371358,-1.97518178656
v2,quarterly,true_oos,T3,M30,BR,6,Si|CNY|GD|MIX|NG,21,118.893132951,5.66157775958,1.44169875399,0.666666666667,10.5345060179,-10.3212024051,-10.3212024051,3,-36.8571536176,-0.047619047619,-1.98855052151,1.44419979925,1.44419979925
v2,quarterly,true_oos,T3,M30,MIX,6,Si|CNY|GD|BR|NG,21,127.853668878,6.08826994657,3.43905476288,0.761904761905,11.4821009908,-11.0871323867,-11.0871323867,1,-27.8966176909,0.047619047619,-1.04095554862,0.6782698177,0.6782698177
v2,quarterly,true_oos,T3,M30,NG,6,Si|CNY|GD|BR|MIX,21,161.677800462,7.69894287914,5.84612334785,0.714285714286,13.2939671429,-10.9110330754,-10.9110330754,1,5.9275138932,0,0.770910603503,0.854369129024,0.854369129024
v2,quarterly,true_oos,T3,H1,Si,6,CNY|GD|BR|MIX|NG,20,44.3809355946,2.21904677973,1.36806220648,0.6,6.24305855297,-7.36736101244,-10.2996918812,2,-19.9543328006,-0.05,-1.55918316474,0.405789350677,0.905778591975
v2,quarterly,true_oos,T3,H1,CNY,6,Si|GD|BR|MIX|NG,20,51.4271918231,2.57135959116,1.44503595107,0.55,6.94006709787,-7.77315036312,-9.18941779965,2,-12.9080765721,-0.1,-0.86217461984,0,2.0160526735
v2,quarterly,true_oos,T3,H1,GD,6,Si|CNY|BR|MIX|NG,20,54.3520244919,2.7176012246,1.7554625556,0.7,6.04583038332,-5.49716221108,-6.90861984424,2,-9.98324390325,0.05,-1.75641133439,2.27598815204,4.29685062891
v2,quarterly,true_oos,T3,H1,BR,6,Si|CNY|GD|MIX|NG,20,49.2888969206,2.46444484603,1.52075411183,0.55,7.11377790108,-5.82834901552,-9.78892400814,2,-15.0463714746,-0.1,-0.688463816625,1.9448013476,1.41654646501
v2,quarterly,true_oos,T3,H1,MIX,6,Si|CNY|GD|BR|NG,20,65.8198772588,3.29099386294,1.42355569976,0.55,7.55292943363,-6.60064586517,-11.1648945043,2,1.48460886357,-0.1,-0.249312284079,1.17250449795,0.040575968892
v2,quarterly,true_oos,T3,H1,NG,6,Si|CNY|GD|BR|MIX,20,56.4074158869,2.82037079435,1.17186152395,0.55,8.02566663942,-8.74285266453,-12.7332862882,2,-7.92785250827,-0.1,0.223424921708,-0.969702301413,-1.52781581505
