generation,futures_type,lifecycle_stage,strategy,timeframe,instrument_a,instrument_b,overlapping_months,pearson_monthly_R,covariance_monthly_R,same_sign_months,opposite_sign_months,same_sign_share,opposite_sign_share,both_negative_months,both_positive_months,sample_flag
v3,perpetual,walk_forward,T3,M30,CNYRUBF,IMOEXF,12,0.196778206349,1.87346565413,4,6,0.333333333333,0.5,2,2,ADEQUATE
v3,perpetual,walk_forward,T3,M30,CNYRUBF,USDRUBF,12,0.769150254271,11.301889816,6,5,0.5,0.416666666667,2,4,ADEQUATE
v3,perpetual,walk_forward,T3,M30,GLDRUBF,IMOEXF,12,0.34615534455,2.41942848175,9,3,0.75,0.25,3,5,ADEQUATE
v3,perpetual,walk_forward,T3,M30,GLDRUBF,USDRUBF,12,0.660616595946,7.12627159829,7,4,0.583333333333,0.333333333333,2,5,ADEQUATE
v3,perpetual,walk_forward,T3,M30,IMOEXF,USDRUBF,12,0.230815775355,1.8293228394,6,5,0.5,0.416666666667,1,5,ADEQUATE
v3,perpetual,walk_forward,T3,H1,CNYRUBF,GLDRUBF,8,-0.427778651577,-2.51807321306,1,6,0.125,0.75,1,0,ADEQUATE
v3,perpetual,walk_forward,T3,H1,CNYRUBF,IMOEXF,8,0.27522044961,2.20574010347,6,1,0.75,0.125,2,4,ADEQUATE
v3,perpetual,walk_forward,T3,H1,CNYRUBF,USDRUBF,8,0.811931298236,8.5870497447,4,3,0.5,0.375,1,3,ADEQUATE
v3,perpetual,walk_forward,T3,H1,GLDRUBF,IMOEXF,8,-0.703338411682,-1.7312524647,0,8,0,1,0,0,ADEQUATE
v3,perpetual,walk_forward,T3,H1,GLDRUBF,USDRUBF,8,-0.320032164932,-1.0395389212,3,5,0.375,0.625,1,2,ADEQUATE
v3,perpetual,walk_forward,T3,H1,IMOEXF,USDRUBF,8,0.0121480130883,0.0537250427209,5,3,0.625,0.375,1,4,ADEQUATE
v3,perpetual,true_oos,T2,M30,CNYRUBF,GLDRUBF,21,0.022842014227,0.273673779778,13,8,0.619047619048,0.380952380952,7,6,ADEQUATE
v3,perpetual,true_oos,T2,M30,CNYRUBF,IMOEXF,21,-0.473566999328,-5.86205156482,8,13,0.380952380952,0.619047619048,4,4,ADEQUATE
v3,perpetual,true_oos,T2,M30,CNYRUBF,USDRUBF,21,0.28940935439,4.84318081849,16,5,0.761904761905,0.238095238095,10,6,ADEQUATE
v3,perpetual,true_oos,T2,M30,GLDRUBF,IMOEXF,21,-0.117082426856,-1.37815756195,10,11,0.47619047619,0.52380952381,4,6,ADEQUATE
v3,perpetual,true_oos,T2,M30,GLDRUBF,USDRUBF,21,0.396221497668,6.30514542011,16,5,0.761904761905,0.238095238095,9,7,ADEQUATE
v3,perpetual,true_oos,T2,M30,IMOEXF,USDRUBF,21,-0.0460773498939,-0.757554663542,11,10,0.52380952381,0.47619047619,6,5,ADEQUATE
v3,perpetual,true_oos,T2,H1,CNYRUBF,GLDRUBF,19,0.0875099325943,0.761560060967,8,6,0.421052631579,0.315789473684,5,3,ADEQUATE
v3,perpetual,true_oos,T2,H1,CNYRUBF,IMOEXF,21,-0.326897881812,-2.21052784776,8,9,0.380952380952,0.428571428571,7,1,ADEQUATE
v3,perpetual,true_oos,T2,H1,CNYRUBF,USDRUBF,21,0.33212829782,2.73924741842,12,4,0.571428571429,0.190476190476,4,6,ADEQUATE
v3,perpetual,true_oos,T2,H1,GLDRUBF,IMOEXF,19,0.221834549155,2.22507541106,9,9,0.473684210526,0.473684210526,7,2,ADEQUATE
v3,perpetual,true_oos,T2,H1,GLDRUBF,USDRUBF,19,0.0878927706721,1.07436147948,8,6,0.421052631579,0.315789473684,2,6,ADEQUATE
v3,perpetual,true_oos,T2,H1,IMOEXF,USDRUBF,21,0.402354905873,3.80598440454,4,12,0.190476190476,0.571428571429,2,2,ADEQUATE
v3,perpetual,true_oos,T3,M30,CNYRUBF,GLDRUBF,21,0.725117445371,14.9480377447,12,8,0.571428571429,0.380952380952,3,9,ADEQUATE
v3,perpetual,true_oos,T3,M30,CNYRUBF,IMOEXF,20,0.0500056241809,0.825009898317,10,10,0.5,0.5,3,7,ADEQUATE
v3,perpetual,true_oos,T3,M30,CNYRUBF,USDRUBF,21,0.903439515393,16.8079385279,15,5,0.714285714286,0.238095238095,4,11,ADEQUATE
v3,perpetual,true_oos,T3,M30,GLDRUBF,IMOEXF,20,-0.00129845040799,-0.022434794416,10,9,0.5,0.45,3,7,ADEQUATE
v3,perpetual,true_oos,T3,M30,GLDRUBF,USDRUBF,21,0.745255991532,14.5911969462,15,4,0.714285714286,0.190476190476,5,10,ADEQUATE
v3,perpetual,true_oos,T3,M30,IMOEXF,USDRUBF,20,0.131587199617,2.06156773641,10,9,0.5,0.45,3,7,ADEQUATE
v3,perpetual,true_oos,T3,H1,CNYRUBF,GLDRUBF,20,0.663314146409,7.61867936538,11,5,0.55,0.25,4,6,ADEQUATE
v3,perpetual,true_oos,T3,H1,CNYRUBF,IMOEXF,20,-0.0433979696475,-0.193647423312,9,9,0.45,0.45,4,5,ADEQUATE
v3,perpetual,true_oos,T3,H1,CNYRUBF,USDRUBF,19,0.901598413718,8.02034245423,14,2,0.736842105263,0.105263157895,6,8,ADEQUATE
v3,perpetual,true_oos,T3,H1,GLDRUBF,IMOEXF,20,-0.104726378338,-0.757784598051,11,5,0.55,0.25,4,6,ADEQUATE
v3,perpetual,true_oos,T3,H1,GLDRUBF,USDRUBF,19,0.730589368576,10.4615133773,12,4,0.631578947368,0.210526315789,4,6,ADEQUATE
v3,perpetual,true_oos,T3,H1,IMOEXF,USDRUBF,19,0.00135826567353,0.00754681165147,10,8,0.526315789474,0.421052631579,4,5,ADEQUATE
