generation,futures_type,lifecycle_stage,strategy,timeframe,YYYY-MM,instrument,coverage_start_date,instrument_available,partial_coverage_month,coverage_status,trades,net_R,positive_month,negative_month,zero_month
v2,quarterly,baseline,T2,M30,2021-02,BR,2020-01-01,true,false,AVAILABLE,8,-0.910025217646,false,true,false
v2,quarterly,baseline,T2,M30,2021-02,MIX,2020-01-01,true,false,AVAILABLE,4,1.21632001967,true,false,false
v2,quarterly,baseline,T2,M30,2021-02,NG,2020-02-03,true,false,AVAILABLE,3,1.47157348866,true,false,false
v2,quarterly,baseline,T2,M30,2021-03,Si,2020-01-01,true,false,AVAILABLE,4,-1.17818091261,false,true,false
v2,quarterly,baseline,T2,M30,2021-03,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2021-03,GD,2020-01-01,true,false,AVAILABLE,3,-1.5597617326,false,true,false
v2,quarterly,baseline,T2,M30,2021-03,BR,2020-01-01,true,false,AVAILABLE,5,7.63587521208,true,false,false
v2,quarterly,baseline,T2,M30,2021-03,MIX,2020-01-01,true,false,AVAILABLE,5,4.82472907357,true,false,false
v2,quarterly,baseline,T2,M30,2021-03,NG,2020-02-03,true,false,AVAILABLE,6,4.84285786046,true,false,false
v2,quarterly,baseline,T2,M30,2021-04,Si,2020-01-01,true,false,AVAILABLE,4,-3.34262145373,false,true,false
v2,quarterly,baseline,T2,M30,2021-04,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2021-04,GD,2020-01-01,true,false,AVAILABLE,2,-0.802520934374,false,true,false
v2,quarterly,baseline,T2,M30,2021-04,BR,2020-01-01,true,false,AVAILABLE,2,-0.674448779694,false,true,false
v2,quarterly,baseline,T2,M30,2021-04,MIX,2020-01-01,true,false,AVAILABLE,2,-1.55322500741,false,true,false
v2,quarterly,baseline,T2,M30,2021-04,NG,2020-02-03,true,false,AVAILABLE,4,1.44694077831,true,false,false
v2,quarterly,baseline,T2,M30,2021-05,Si,2020-01-01,true,false,AVAILABLE,4,-0.646500893581,false,true,false
v2,quarterly,baseline,T2,M30,2021-05,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
