generation,futures_type,lifecycle_stage,strategy,timeframe,instrument,months_observed,months_with_trades,total_trades,total_net_R,PF,expectancy_R,positive_months,negative_months,positive_month_share,mean_monthly_R,median_monthly_R,monthly_R_std,best_month_R,worst_month_R,longest_negative_month_streak,contribution_to_portfolio_total_R,contribution_to_positive_R,contribution_to_negative_R,share_of_portfolio_losses,number_of_months_in_which_instrument_was_worst,number_of_months_in_which_instrument_was_best
v2,quarterly,true_oos,T2,M30,CNY,21,21,78,-13.1330483326,0.702105238018,-0.16837241452,7,14,0.333333333333,-0.625383253933,-1.01201468618,1.81071300476,3.83210567727,-3.07201571044,3,-0.0937998978515,0.0533938149927,0.516079129212,0.201975757681,6,1
v2,quarterly,true_oos,T2,M30,GD,21,19,66,105.774063445,3.79765532149,1.60263732492,7,12,0.333333333333,5.03686016403,-0.493590214886,19.9631088836,90.1256235631,-3.20546011832,3,0.75546789254,0.675447255432,0.423912234614,0.16590478074,2,5
v2,quarterly,true_oos,T2,M30,BR,21,19,61,9.43464816726,1.36568211212,0.154666363398,8,11,0.380952380952,0.449268960346,-0.138448635331,2.9685450998,11.1902048307,-2.29330065984,2,0.0673848913019,0.122471406984,0.295629086924,0.115699134967,2,2
v2,quarterly,true_oos,T2,M30,MIX,21,21,82,3.51439477544,1.0877353083,0.0428584728712,8,13,0.380952380952,0.167352132164,-0.332063256681,2.91474042558,8.20942600787,-4.11030440377,3,0.0251007886819,0.124721771846,0.437868067346,0.171366617366,5,3
v2,quarterly,true_oos,T2,M30,NG,21,20,72,4.72518760305,1.12248294942,0.0656276055979,9,11,0.428571428571,0.225008933479,-0.783681543547,3.31588071269,9.2545965112,-4.15267621069,3,0.0337486091021,0.148002802615,0.507146793245,0.198479946239,4,5
v2,quarterly,true_oos,T2,H1,Si,21,18,44,21.9404984704,2.25077969216,0.498647692509,8,10,0.380952380952,1.04478564145,0,3.57761886928,13.4022923511,-2.7384577864,3,0.566463188134,0.452012044008,0.321100150418,0.129024512267,2,3
v2,quarterly,true_oos,T2,H1,CNY,21,19,40,-3.45167247899,0.832868599046,-0.0862918119748,4,15,0.190476190476,-0.164365356142,-0.813084300942,2.42899765087,6.69180648029,-3.10428712441,6,-0.0891158147332,0.208080277543,0.548020113919,0.220205527212,4,3
v2,quarterly,true_oos,T2,H1,GD,21,18,47,21.2495728232,1.8219506831,0.452118570707,10,8,0.47619047619,1.01188442015,0,4.13132624795,15.9290089278,-5.83438308724,3,0.548624762749,0.474802793235,0.390363499147,0.156855921801,4,5
v2,quarterly,true_oos,T2,H1,BR,21,20,54,13.3486280406,1.63680763323,0.247196815567,10,10,0.47619047619,0.635648954314,0,2.28231284461,7.65775736606,-2.36260499568,3,0.34463694648,0.312492310734,0.275724525088,0.110791671455,2,4
v2,quarterly,true_oos,T2,H1,MIX,21,20,51,-7.08929275863,0.742414770777,-0.139005740365,8,12,0.380952380952,-0.337585369459,-0.864975940719,1.19535216796,2.41124845692,-2.35146967045,6,-0.183032458587,0.0981008620194,0.419667724743,0.168630950277,3,2
v2,quarterly,true_oos,T2,H1,NG,21,20,61,-7.2652993506,0.765097213709,-0.119103268043,9,11,0.428571428571,-0.345966635743,-0.0270798385688,1.8704062009,2.304531755,-5.72531307471,4,-0.187576624042,0.148913863447,0.533799547454,0.214491416988,6,4
v2,quarterly,true_oos,T3,M30,Si,21,21,98,43.2095577297,2.01930707924,0.440913854384,13,8,0.619047619048,2.05759798713,0.874143917804,4.28117557148,13.4790306208,-1.74464845238,3,0.277428431636,0.285519474249,0.325203108356,0.0820611263834,1,3
v2,quarterly,true_oos,T3,M30,CNY,21,21,107,25.0591013172,1.4939813087,0.234197208572,12,9,0.571428571429,1.19329053892,0.464861457991,4.6138306408,13.3372072996,-5.8781565416,4,0.160892810339,0.264211050946,0.770949607731,0.194539940024,5,2
v2,quarterly,true_oos,T3,M30,GD,21,21,124,28.6553701066,1.45608735616,0.231091694408,12,9,0.571428571429,1.36454143365,1.03707508194,4.42415588464,11.3196247458,-6.16038374503,3,0.183982776134,0.270161059794,0.692834334441,0.174828482325,5,4
v2,quarterly,true_oos,T3,M30,BR,21,20,129,36.8571536176,1.59995589869,0.285714369129,10,10,0.47619047619,1.75510255322,0,5.24308139117,15.8815320149,-5.1171060388,3,0.236642605478,0.32508334736,0.758853160309,0.191487545766,4,6
v2,quarterly,true_oos,T3,M30,MIX,21,21,124,27.8966176909,1.49737423517,0.224972723314,13,8,0.619047619048,1.32841036623,1.36323999943,3.26570853648,6.81355283407,-3.8895726868,5,0.179111180502,0.235657133607,0.512994557283,0.129448059129,1,5
v2,quarterly,true_oos,T3,M30,NG,21,20,116,-5.9275138932,0.913318115818,-0.0510992577,8,12,0.380952380952,-0.282262566343,-0.148789638644,3.1298112978,5.71849196025,-5.66451695239,9,-0.03805780409,0.12116626237,0.902102650462,0.227634846372,5,1
