trade_id,symbol,direction,entry_time,exit_time,MAE,MFE,status
33,CNY,LONG,2023-08-02 09:00:00+00:00,2023-08-07 15:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
34,Si,LONG,2023-08-04 09:00:00+00:00,2023-08-07 15:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
35,Si,LONG,2023-08-08 15:00:00+00:00,2023-08-09 16:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
36,CNY,LONG,2023-08-09 12:00:00+00:00,2023-08-09 16:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
37,Si,LONG,2023-08-11 08:00:00+00:00,2023-08-14 15:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
38,CNY,LONG,2023-08-11 12:00:00+00:00,2023-08-14 15:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
39,Si,LONG,2023-08-21 08:00:00+00:00,2023-08-21 14:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
40,Si,LONG,2023-09-13 11:00:00+00:00,2023-09-14 13:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
41,CNY,LONG,2023-09-14 16:00:00+00:00,2023-09-15 11:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
42,Si,LONG,2023-09-14 16:00:00+00:00,2023-09-15 11:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
43,Si,LONG,2023-10-02 21:00:00+00:00,2023-10-03 07:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
44,Si,LONG,2023-10-05 17:00:00+00:00,2023-10-06 09:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
45,CNY,LONG,2023-10-09 11:00:00+00:00,2023-10-09 14:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
46,Si,LONG,2023-10-09 12:00:00+00:00,2023-10-09 14:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
47,CNY,SHORT,2023-10-31 07:00:00+00:00,2023-10-31 13:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
48,Si,SHORT,2023-10-31 07:00:00+00:00,2023-10-31 13:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
49,CNY,SHORT,2023-11-16 09:00:00+00:00,2023-11-16 17:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
50,Si,SHORT,2023-11-16 09:00:00+00:00,2023-11-16 17:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
51,Si,SHORT,2023-11-20 08:00:00+00:00,2023-11-22 09:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
52,Si,LONG,2023-12-06 10:00:00+00:00,2023-12-06 11:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
