generation,lifecycle_stage,strategy,timeframe,instrument,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v2,true_oos,T3,H1,Si,53,20,33,0.377358490566038,19.9543328006001,0.376496845294342,2.03059684534283,1.9658125977642,-0.586724822869206,-0.187921864621,1.63482977838915,6.43966493068,-1.00000970398,35.622641509434,24,0.546893947579495,0.540749206012,1.67445787176182,1.041873856,false
v2,true_oos,T3,M30,BR,129,50,79,0.387596899224806,36.8571536176457,0.285714369129036,1.59995589869182,1.96580516895072,-0.77763423835304,-0.450622390567,2.10710998119665,15.0220942887,-2.02029924697,14.6589147286822,12,0.62955334754936,0.596824835091,1.69990524621961,0.923928582285,false
v2,true_oos,T3,M30,CNY,107,42,65,0.392523364485981,25.0591013172224,0.234197208572172,1.49398130870025,1.80447491594278,-0.780443771574989,-0.439594026808,1.97121849200628,12.8459788553,-1.11123411454,14.588785046729,15,0.580089578248164,0.566072022431,1.61559260749938,0.863542776141,false
v2,true_oos,T3,M30,GD,124,43,81,0.346774193548387,28.6553701065624,0.231091694407761,1.45608735616215,2.12753623021808,-0.775662812256977,-0.542675798421,1.82041070889063,12.2324667414,-1.76757472555,19.9395161290323,11,0.651171739039586,0.631140719305,1.59012279587355,0.948331641749,false
v2,true_oos,T3,M30,MIX,124,50,74,0.403225806451613,27.8966176908829,0.224972723313572,1.49737423516651,1.67968799447902,-0.757943000446864,-0.4140462565465,1.60060637069835,6.7093923456,-1.08558705644,21.9072580645161,16,0.62154593611291,0.6380922823415,1.51170494694434,0.8501878541615,false
v2,true_oos,T3,M30,NG,116,46,70,0.396551724137931,-5.9275138931967,-0.0510992576999715,0.913318115818015,1.35771456834692,-0.976891200530786,-0.488173212885,1.48755806312772,6.79490145003,-3.44480811104,18.3405172413793,15.75,0.690452989310053,0.712746646541,1.34001763366804,0.918177902745,false
v2,true_oos,T3,M30,Si,98,43,55,0.438775510204082,43.2095577296602,0.440913854384288,2.01930707924151,1.99071318498565,-0.770747440449505,-0.254611997751,2.27617741360624,14.4924415952,-1.00001544833,16.8265306122449,16,0.618546063573335,0.6495093833485,1.7285625966145,0.906720104808,false
v2,walk_forward,T2,H1,BR,15,7,8,0.466666666666667,3.184242832083,0.2122828554722,1.69237628994093,1.11189271513686,-0.574875771734375,-0.16272442071,1.0326043290614,2.07646972485,-1.00401805259,45.1333333333333,23,0.478527049821653,0.492673935983,1.8883072388438,1.02839451708,true
v2,walk_forward,T2,H1,CNY,16,7,9,0.4375,15.34462433763,0.959039021101875,3.22401094823403,3.17773595367929,-0.766614148680556,-0.3482574213265,2.24212290012598,5.63575315309,-1.08011186154,51.625,36,0.55958556026725,0.585570174141,2.31793242160764,0.862016566044,true
v2,walk_forward,T2,H1,GD,15,3,12,0.2,-6.475783876629,-0.4317189251086,0.210757985683554,0.576427821801667,-0.683755611836167,-0.692722071391,0.573571708902476,0.922124885606,-1.00022663933,19.2,20,0.455402451151293,0.481332392355,0.979542652201533,0.680383223141,true
v2,walk_forward,T2,H1,MIX,27,12,15,0.444444444444444,11.3487152854375,0.420322788349537,2.53459444778654,1.56199741640043,-0.493016914091173,-0.108853149698,1.27524028964647,3.447023415,-1.00000158852,47.037037037037,28,0.432886426542841,0.376680115021,1.78469955502763,1.11795252292,true
v2,walk_forward,T2,H1,NG,23,9,14,0.391304347826087,5.5632478985212,0.241880343413965,1.47202047855797,1.92769763317048,-0.841859342858079,-0.460240537201,1.74301854080855,4.15459834904,-2.38548483767,36.7391304347826,26,0.47151741659943,0.451010048766,1.55535210076534,0.695847080933,true
v2,walk_forward,T2,H1,Si,21,6,15,0.285714285714286,4.5604755599161,0.217165502853148,1.42656066487,2.54195771851117,-0.71275138341006,-0.63429023236,1.92604102968848,7.42532253399,-1.00000571293,43.9047619047619,23,0.401705764421424,0.392428931112,1.58440349271704,0.729009041573,true
v2,walk_forward,T2,M30,BR,24,7,17,0.291666666666667,-1.795402899472,-0.0748084541446667,0.90041289991407,2.31900937518557,-1.06049814857476,-0.7997512455925,1.87243031662586,5.10862153932,-3.32087807086,21.1041666666667,11.5,0.460648816750042,0.478348428137,1.5530540440469,0.5592345619345,true
v2,walk_forward,T2,M30,CNY,37,11,26,0.297297297297297,-2.818345666986,-0.0761715045131351,0.843155281885055,1.37733390872018,-0.691116102419538,-0.541350845343,1.12339892217013,3.60037752423,-1.06232885397,17.4054054054054,16.5,0.409339207244586,0.430754768792,1.31014721955186,0.923030204783,false
v2,walk_forward,T2,M30,GD,28,16,12,0.571428571428571,-0.25951960609232,-0.00926855736043999,0.974980704573944,0.632078671905605,-0.864398196381833,0.10188029148355,0.936115441050694,2.12377343553,-2.36044799019,17.875,18.5,0.354529183445893,0.29781017734,1.50160411772377,1.356036372365,true
v2,walk_forward,T2,M30,MIX,45,23,22,0.511111111111111,14.2456837402626,0.316570749783613,1.95156209335962,1.27028363587826,-0.680492722042605,0.0351573927251,1.33976433662541,5.20104980153,-1.00000316533,17.7111111111111,17.5,0.40583289607776,0.344871005136,1.65019006258066,1.29816731174,false
v2,walk_forward,T2,M30,NG,36,13,23,0.361111111111111,0.2545648902521,0.00707124695144723,1.01106952675586,1.78857485052664,-0.999865572460617,-0.416506000682,1.94714424738997,7.02977416654,-5.12451155193,25.1388888888889,18,0.463957807730406,0.4227351686745,1.53325645778266,0.7663065996365,false
v2,walk_forward,T2,M30,Si,40,14,26,0.35,4.4571921896265,0.111429804740663,1.23204730738082,1.69037933862089,-0.738773790425615,-0.519393404411,1.84503015395991,8.50823344586,-1.00000925167,16.9125,7.5,0.450191384357287,0.5010715016365,1.39081676027897,0.603071499802,false
