generation,futures_type,lifecycle_stage,strategy,timeframe,instrument_scope,source_family,source_path,source_sha256,source_schema_id,canonical_c1_field,trade_count,first_entry_time,last_exit_time,column_count,has_trade_id,has_direction,has_entry_time,has_exit_time,has_MAE,has_MFE,has_exit_reason,has_entry_price,has_exit_price,has_stop_field,has_holding_field,has_cost_field,has_gross_R_field
v2,quarterly,baseline,T2,M30,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T2/NG/M30/trades.csv,91fcecdde21e19c0fa12b0966249925b9a60ab90f9a0932ecf91f1f892e20e06,V2_T2_BASELINE,net_R,257,2020-02-28T18:30:00+03:00,2024-12-26T13:00:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T2,M30,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T2/Si/M30/trades.csv,647896968203a979b5e155f14d58b335a23e585836958d993d4e6397185f8f59,V2_T2_BASELINE,net_R,269,2020-01-17T18:00:00+03:00,2024-12-28T10:30:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,walk_forward,T2,M30,Si|CNY|GD|BR|MIX|NG,walk_forward_v2,TradingSystemLab/results/walk_forward_v2/T2/M30/trades.csv,1a82378a94be7e2cf492054116b3eea18c11a54027dde221dffab3ec558189e7,V2_T2_WF,net_R_C1,210,2024-01-12T09:00:00+03:00,2024-12-28T11:00:00+03:00,25,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,true_oos,T2,M30,Si|CNY|GD|BR|MIX|NG,true_oos_v2,TradingSystemLab/results/true_oos_v2/T2/M30/trades.csv,8e1f7b06b35ffa734377b856d2d67cfb9f59b59d6e79d203aa4ca9a36a6207fb,V2_TRUE_OOS,R_result,437,2025-01-15T13:30:00+03:00,2026-09-15T07:00:00+03:00,16,true,true,true,true,true,true,true,true,true,false,true,true,true
v2,quarterly,baseline,T2,H1,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T2/BR/H1/trades.csv,26297e2f3c6f46448bee4672b206e7ef8ae7d32c60bc42570c1b81cc82ce19ae,V2_T2_BASELINE,net_R,129,2020-02-04T19:00:00+03:00,2024-12-26T19:00:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T2,H1,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T2/CNY/H1/trades.csv,01168d9816eb146967a1b1d1af5e378517864973dee6ac8d09fd3eb7fc599e9c,V2_T2_BASELINE,net_R,54,2022-05-31T14:00:00+03:00,2024-11-29T17:00:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T2,H1,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T2/GD/H1/trades.csv,a8d1448e8209892951e598fe1777a6da9add1144fba5c848cac67df7368dcf1c,V2_T2_BASELINE,net_R,114,2020-01-30T19:00:00+03:00,2024-12-28T17:00:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T2,H1,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T2/MIX/H1/trades.csv,7a4ab0af91c3e6c70dbc8f42c3a8b5f1ef9de7766b39a44a0e03fd7e7006572b,V2_T2_BASELINE,net_R,154,2020-01-31T14:00:00+03:00,2024-12-18T11:00:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T2,H1,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T2/NG/H1/trades.csv,641a104aebf1c7d2c0bdeff96d5a31daf24e077d78400508fdfbabdd602094bd,V2_T2_BASELINE,net_R,130,2020-02-28T22:00:00+03:00,2024-12-26T16:00:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T2,H1,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T2/Si/H1/trades.csv,3dbca87f164a0f181bd36ec1a74dcd0e13cad0b1f312e66a8378fe02a3ebef7d,V2_T2_BASELINE,net_R,126,2020-01-31T13:00:00+03:00,2024-12-19T12:00:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
