generation,lifecycle_stage,strategy,timeframe,holding_bucket,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v1,true_oos,T2,H1,>96h,3,3,0,1,18.628389956243,6.20946331874767,NA,6.20946331874767,NA,5.38645159338,5.23537294250356,12.9932280859,0.248710276963,181,122,0.2084877780614,0.104044836361,7.98982732681667,7.76868111492,true
v1,true_oos,T2,M30,12–24h,56,24,32,0.428571428571429,8.855261244312,0.158129665077,1.6325645851769,0.952260201219246,-0.437468237029684,-0.10265194999075,0.920204631639704,3.46171284745,-1.00599272435,18.9285714285714,18,0.472330489495796,0.42480284416,1.49993136668248,0.9621943045805,false
v1,true_oos,T2,M30,1–3h,34,0,34,0,-32.253755720566,-0.948639874134294,0,NA,-0.948639874134294,-1.02461138005,0.175903558204039,-0.334697672612,-1.10376364805,1.51470588235294,1.5,0.587785380866765,0.5159065181365,0.233426209627206,0.1458135142375,false
v1,true_oos,T2,M30,24–48h,13,13,0,1,46.0739430428268,3.54414946483283,NA,3.54414946483283,NA,2.9321054037,2.59837847038313,9.25352282824,0.0438772379128,34.5769230769231,34.5,0.344685327382569,0.225869762237,5.27192170764654,4.45063340584,true
v1,true_oos,T2,M30,3–6h,30,3,27,0.1,-14.350594616395,-0.478353153879833,0.359433387030381,2.68412512944767,-0.829739629805111,-0.837308313736,1.54829283832465,7.64297715783,-1.07661287982,4.08333333333333,3.75,0.570907376283607,0.604270667045,1.17886724430553,0.6405559695445,false
v1,true_oos,T2,M30,48–96h,16,8,8,0.5,0.5760751987777,0.0360046999236062,1.13137650944009,0.6201241286835,-0.548114728836288,0.03114451118335,0.800248044002797,2.46338240396,-0.986644091222,67.1875,67.25,0.452610946451687,0.452028855365,1.17422730663094,1.11762289043,true
v1,true_oos,T2,M30,6–12h,11,2,9,0.181818181818182,-3.6837379129132,-0.334885264810291,0.177637395623758,0.39785953637005,-0.497717442850367,-0.359923397716,0.488572517074606,0.79412235709,-1.01016802426,8.13636363636364,7.5,0.523950774589582,0.480802353012,1.01190380093555,0.965962304372,true
v1,true_oos,T2,M30,<1h,8,0,8,0,-7.69109582842,-0.9613869785525,0,NA,-0.9613869785525,-1.007012203695,0.157284770686166,-0.551548211629,-1.07069677097,0.5,0.5,0,0,0,0,true
v1,true_oos,T2,M30,>96h,3,3,0,1,30.58772789188,10.1959092972933,NA,10.1959092972933,NA,12.1067394162,4.58897324255631,14.6116728165,3.86931565918,109.5,113,0.588603497305333,0.746378552867,12.8022542782133,14.6787782064,true
v1,true_oos,T3,H1,12–24h,29,7,22,0.241379310344828,-5.0688683678278,-0.174788564407855,0.601758592070025,1.09418021749571,-0.5785513586499,-0.427843808794,0.809008433080631,1.54303142434,-1.02918688957,18.4827586206897,18,0.504720813245793,0.442447156232,1.21912249280862,0.998387068155,true
