generation,lifecycle_stage,strategy,timeframe,exit_reason_raw,trades,share_of_trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v2,baseline,T3,H1,ATR_TRAILING_STOP,741,1,301,440,0.406207827260459,151.550692518305,0.204521852251424,1.47227192074294,1.56959401435559,-0.729311604097112,-0.309811135081,1.56518130566398,13.5545083328,-2.56466015562,39.693657219973,24,0.593902739650715,0.622664695383,1.59062742566393,1.03236937869,false
v2,baseline,T3,M30,ATR_TRAILING_STOP,1563,1,627,936,0.401151631477927,257.573978294096,0.164794611832435,1.36949736406822,1.52259465575066,-0.744757340664071,-0.322782695794,1.53069118821051,13.1606208736,-3.699242647,21.2789507357646,14.5,0.608210785410455,0.636941507287,1.51626541681315,0.999071071607,false
v2,true_oos,T2,H1,ATR_TRAILING_STOP,191,0.643097643097643,109,82,0.570680628272251,140.786815638943,0.737103746800749,4.40023595641016,1.67148467089316,-0.504939188883062,0.196394432271,1.86277072284822,12.8936279959,-1.19238943562,42.1413612565445,28,0.368912321074201,0.326716228795,2.19529991610364,1.52709378647,false
v2,true_oos,T2,H1,EMA50_TREND_LOSS,29,0.0976430976430976,0,29,0,-17.4730922972635,-0.602520424043569,0,NA,-0.602520424043569,-0.650045092361,0.182151983469463,-0.0871992708705,-0.906334426779,17.1379310344828,7,0.438757788377645,0.427670431642,0.294209355855179,0.194614001036,true
v2,true_oos,T2,H1,INITIAL_STOP,77,0.259259259259259,0,77,0,-84.58128859567,-1.09845829345026,0,NA,-1.09845829345026,-1.00158777747,0.282803343378351,-1.00000024935,-2.51630612463,10.2337662337662,6,0.541639926505162,0.619229580845,0.251967260185222,0.156143689288,false
v2,true_oos,T2,M30,ATR_TRAILING_STOP,286,0.654462242562929,146,140,0.510489510489511,284.571940650319,0.995006785490625,4.66996007798099,2.48022481136491,-0.553863441492558,0.05015456490365,5.79400313181034,90.7159022833,-1.21364491389,23.1381118881119,18.5,0.421526681049963,0.403961587451,2.50541365175044,1.32182058288,false
v2,true_oos,T2,M30,EMA50_TREND_LOSS,35,0.080091533180778,0,35,0,-21.487258737039,-0.613921678201114,0,NA,-0.613921678201114,-0.609836228959,0.192283253780513,-0.1976793043,-0.905032838279,7.48571428571429,3,0.478130158734314,0.496216550677,0.260627306002911,0.232086870705,false
v2,true_oos,T2,M30,INITIAL_STOP,116,0.265446224256293,0,116,0,-123.07335318687,-1.06097718264543,0,NA,-1.06097718264543,-1.001735261235,0.206260113973674,-1.00000045085,-2.72360484797,4.76724137931035,2,0.594051373897277,0.709814324177,0.331607906120796,0.185900092662,false
v2,true_oos,T3,H1,ATR_TRAILING_STOP,327,1,122,205,0.373088685015291,64.3352683951956,0.19674394004647,1.40704236492239,1.82287482629247,-0.771002245914566,-0.393036798154,1.71458561847877,9.67156064673,-3.10688940021,31.6269113149847,23,0.623839471517699,0.648809381901,1.56088321150715,0.841757744697,false
v2,true_oos,T3,M30,ATR_TRAILING_STOP,698,1,274,424,0.392550143266476,155.750286568777,0.223137946373606,1.45560747392065,1.81606642203942,-0.806254511957607,-0.451717278305,1.89080312237843,15.0220942887,-3.44480811104,17.7901146131805,14.75,0.632964211196967,0.640775104859,1.57825788803423,0.902874011925,false
