generation,lifecycle_stage,strategy,timeframe,entry_hour,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v2,baseline,T3,H1,11,89,50,39,0.561797752808989,34.5851640939546,0.388597349370276,2.10851004087738,1.31569698186544,-0.79999192305942,0.243569998637,1.41520559730632,6.33073533834,-1.02829482882,39.2247191011236,25,0.539387075935443,0.498547227358,1.73433275649568,1.47762520309,false
v2,baseline,T3,H1,12,54,18,36,0.333333333333333,3.1712942938412,0.0587276721081704,1.11818689966774,1.66689828865854,-0.745357636167017,-0.539990682181,1.3885595247704,4.64344838222,-1.07159976687,31.8333333333333,23,0.644465781174417,0.676797060954,1.43252203498388,0.9187213809445,false
v2,baseline,T3,H1,13,39,14,25,0.358974358974359,27.332365962748,0.700829896480718,2.77741403414333,3.05071201166483,-0.615104088022384,-0.189209676039,3.18850331876616,13.5545083328,-1.06796584073,35.5897435897436,25,0.570608197262585,0.630332220179,2.24363837568288,1.24022109209,false
v2,baseline,T3,H1,14,34,14,20,0.411764705882353,4.5367307919428,0.133433258586553,1.35826597157176,1.22855395269686,-0.63315122729066,-0.2463909368935,1.18219776844007,3.92723068917,-1.01506807901,38.2941176470588,25,0.540676186935932,0.50126072213,1.51446938861735,1.21118897443,false
v2,baseline,T3,H1,15,54,17,37,0.314814814814815,0.928396116582699,0.0171925206774574,1.03029926543151,1.85701616528669,-0.828131856575432,-0.774103113948,1.75505667019834,9.67844604257,-1.03986410983,23.9444444444444,19,0.676274451720007,0.8575662227095,1.48065818210241,0.671566874285,false
v2,baseline,T3,H1,16,63,27,36,0.428571428571429,13.378173265972,0.21235195660273,1.56232736155354,1.37662570674324,-0.660853356002656,-0.20382262447,1.1832851552951,3.02298866589,-1.07749405162,45.3174603174603,26,0.566824348255373,0.609875617701,1.60909523306099,1.00461783773,false
v2,baseline,T3,H1,17,44,17,27,0.386363636363636,10.5055060823753,0.238761501872165,1.6002544333108,1.64748595120672,-0.648213151412557,-0.317758109005,1.53006344429741,6.23822709697,-1.0074754714,51.3636363636364,27.5,0.580455975335288,0.6602997870965,1.6379516487736,1.155194367685,false
v2,baseline,T3,H1,18,76,36,40,0.473684210526316,27.1665051325097,0.357454014901444,1.96180406181699,1.53921856708086,-0.706134082060027,-0.1425267022085,1.42023744350633,5.43799834026,-1.01426763025,48.8421052631579,41,0.543468293083078,0.5281037952925,1.71560416210225,1.363348154305,false
v2,baseline,T3,H1,19,43,19,24,0.441860465116279,18.6185265172727,0.432988988773784,2.14520665896513,1.83559547515549,-0.67740781294507,-0.277701667907,1.62850830259202,5.21935245504,-1.04716542316,45.6744186046512,22,0.535488093437116,0.558478323734,1.803041271978,1.02579897979,false
v2,baseline,T3,H1,20,61,27,34,0.442622950819672,10.1493117710245,0.16638216018073,1.37977516954032,1.36569773213481,-0.786015499900456,-0.222337019641,1.41964656738643,6.38833943865,-2.56466015562,45.6229508196721,39,0.625335471147303,0.583276994195,1.51754311012365,1.02515812392,false
