trade_id,family,submodel,instrument,variant_id,signal_time,entry_time,exit_time,side,raw_entry_price,entry_price,stop_price,target_price,exit_price,exit_reason,friction,pnl_native,pnl,pnl_R,pnl_bps,bars_held,entry_z,exit_z,w_cny,w_si,beta_at_entry,entry_price_cny,entry_price_si,exit_price_cny,exit_price_si,pnl_cny,pnl_si,total_pnl
2,STRUCTURAL,COMPLEX_FALSE_BREAK,CNYRUBF,STRUCTURAL|COMPLEX_FALSE_BREAK|CNYRUBF|target=3,2026-01-06 15:00:00+03:00,2026-01-06 15:00:00+03:00,2026-01-06 15:24:00+03:00,SHORT,11.396,11.396,11.405,11.369,11.369,TARGET,GROSS,0.027000000000001023,0.027000000000001023,3.000000000000592,23.69252369252459,24,,,,,,,,,,,,
2,STRUCTURAL,COMPLEX_FALSE_BREAK,CNYRUBF,STRUCTURAL|COMPLEX_FALSE_BREAK|CNYRUBF|target=3,2026-01-06 15:00:00+03:00,2026-01-06 15:00:00+03:00,2026-01-06 15:24:00+03:00,SHORT,11.396,11.395000000000001,11.405,11.369,11.37,TARGET,BASE,0.02500000000000213,0.02500000000000213,2.7777777777784576,21.937521937523808,24,,,,,,,,,,,,
2,STRUCTURAL,COMPLEX_FALSE_BREAK,CNYRUBF,STRUCTURAL|COMPLEX_FALSE_BREAK|CNYRUBF|target=3,2026-01-06 15:00:00+03:00,2026-01-06 15:00:00+03:00,2026-01-06 15:24:00+03:00,SHORT,11.396,11.394,11.405,11.369,11.371,TARGET,STRESS,0.022999999999999687,0.022999999999999687,2.5555555555559284,20.182520182519905,24,,,,,,,,,,,,
3,STRUCTURAL,COMPLEX_FALSE_BREAK,CNYRUBF,STRUCTURAL|COMPLEX_FALSE_BREAK|CNYRUBF|target=3,2026-01-08 09:05:00+03:00,2026-01-08 09:05:00+03:00,2026-01-08 10:08:00+03:00,LONG,11.356,11.356,11.316,11.476,11.316,STOP,GROSS,-0.03999999999999915,-0.03999999999999915,-1.0,-35.22367030644518,63,,,,,,,,,,,,
3,STRUCTURAL,COMPLEX_FALSE_BREAK,CNYRUBF,STRUCTURAL|COMPLEX_FALSE_BREAK|CNYRUBF|target=3,2026-01-08 09:05:00+03:00,2026-01-08 09:05:00+03:00,2026-01-08 10:08:00+03:00,LONG,11.356,11.357,11.316,11.476,11.315000000000001,STOP,BASE,-0.04199999999999804,-0.04199999999999804,-1.0499999999999734,-36.9848538217665,63,,,,,,,,,,,,
3,STRUCTURAL,COMPLEX_FALSE_BREAK,CNYRUBF,STRUCTURAL|COMPLEX_FALSE_BREAK|CNYRUBF|target=3,2026-01-08 09:05:00+03:00,2026-01-08 09:05:00+03:00,2026-01-08 10:08:00+03:00,LONG,11.356,11.358,11.316,11.476,11.314,STOP,STRESS,-0.04400000000000048,-0.04400000000000048,-1.1000000000000356,-38.746037337090954,63,,,,,,,,,,,,
4,STRUCTURAL,COMPLEX_FALSE_BREAK,CNYRUBF,STRUCTURAL|COMPLEX_FALSE_BREAK|CNYRUBF|target=3,2026-01-08 13:05:00+03:00,2026-01-08 13:05:00+03:00,2026-01-08 13:56:00+03:00,SHORT,11.402,11.402,11.412,11.372,11.372,TARGET,GROSS,0.02999999999999936,0.02999999999999936,2.999999999999467,26.311173478336574,50,,,,,,,,,,,,
4,STRUCTURAL,COMPLEX_FALSE_BREAK,CNYRUBF,STRUCTURAL|COMPLEX_FALSE_BREAK|CNYRUBF|target=3,2026-01-08 13:05:00+03:00,2026-01-08 13:05:00+03:00,2026-01-08 13:56:00+03:00,SHORT,11.402,11.401,11.412,11.372,11.373,TARGET,BASE,0.02800000000000047,0.02800000000000047,2.799999999999609,24.557095246448405,50,,,,,,,,,,,,
4,STRUCTURAL,COMPLEX_FALSE_BREAK,CNYRUBF,STRUCTURAL|COMPLEX_FALSE_BREAK|CNYRUBF|target=3,2026-01-08 13:05:00+03:00,2026-01-08 13:05:00+03:00,2026-01-08 13:56:00+03:00,SHORT,11.402,11.399999999999999,11.412,11.372,11.374,TARGET,STRESS,0.025999999999998025,0.025999999999998025,2.599999999999396,22.803017014557117,50,,,,,,,,,,,,
5,STRUCTURAL,COMPLEX_FALSE_BREAK,CNYRUBF,STRUCTURAL|COMPLEX_FALSE_BREAK|CNYRUBF|target=3,2026-01-08 15:30:00+03:00,2026-01-08 15:30:00+03:00,2026-01-08 16:21:00+03:00,SHORT,11.367,11.367,11.377,11.337,11.337,TARGET,GROSS,0.030000000000001137,0.030000000000001137,3.0000000000001776,26.392187912378933,51,,,,,,,,,,,,
